vcf_label	x	y	z
tsk_0	0.12399512996081928	0.7193491325323954	-5.486997788285198e+303
tsk_1	0.1779255104796434	0.4175243161740476	-5.486997788285198e+303
tsk_2	0.8005077755096677	0.17819168907557675	-7.953031540099203e+306
tsk_3	0.7474205903778609	0.12334515229458173	-7.600542711054103e+306
tsk_4	0.641689181974887	0.6791743206220564	-5.486129282976745e+303
tsk_5	0.5722561075386992	0.6929798331009266	-5.486992556309575e+303
tsk_6	0.25938549184004606	0.8363975664449019	-7.600542711136173e+306
tsk_7	0.33715109047533404	0.1785706400153453	-7.953031540099203e+306
tsk_8	0.23864916310082998	0.6984720412062718	-7.953031540099203e+306
tsk_9	0.32648923962884346	0.0035069842211504915	-5.486997788285198e+303
tsk_10	0.19101264594619996	0.11978348993904003	-7.953031540099203e+306
tsk_11	0.2889975914281636	0.8387935827209033	-5.486129280331905e+303
tsk_12	0.9315760496351514	0.5499882974024128	-7.953031540099203e+306
tsk_13	0.23779580355902746	0.5345940888810718	-5.486997788285196e+303
tsk_14	0.8834636942085328	0.9080086067177436	-7.953031540099203e+306
tsk_15	0.43214780568398237	0.010559570799047124	-7.724468039047084e+306
tsk_16	0.7473843609839659	0.39789578720720364	-7.600542711054103e+306
tsk_17	0.20059543477254846	0.3673233173984105	-5.486997788285198e+303
tsk_18	0.9026415506853673	0.1218351123127537	-7.600542711136173e+306
tsk_19	0.6729048681386914	0.2921570965275046	-7.373356098562538e+306
tsk_20	0.5774332460986055	0.9338253979494519	-7.953031540017133e+306
tsk_21	0.09992944723012145	0.12223162951887923	-5.486997788285198e+303
tsk_22	0.05604119032394424	0.049036573267660546	-7.600542711136173e+306
tsk_23	0.48464307716915567	0.4831731715879243	-7.724468039047084e+306
tsk_24	0.2090360142061746	0.9921885691474488	-7.600542711136173e+306
tsk_25	0.33282903769525135	0.3544301928464906	-5.486997788285196e+303
tsk_26	0.9094018705845632	0.6476930424075557	-5.486997788285198e+303
tsk_27	0.6908692274225191	0.7769062345410299	-5.487473898066509e+303
tsk_28	0.2728353633905605	0.11512804062292253	-7.953031540099203e+306
tsk_29	0.5650533614872144	0.33492606565782906	-5.486997788285198e+303
tsk_30	0.7192926709977657	0.7052943762444102	-5.486997788285196e+303
tsk_31	0.6257741508061594	0.749220230346074	-7.953031540017133e+306
tsk_32	0.5710197928059314	0.011254101809402117	-7.600542711054103e+306
tsk_33	0.29735280298925687	0.14355304632907023	-5.486992556309575e+303
tsk_34	0.5022200737849628	0.572790007885254	-5.486992556309577e+303
tsk_35	0.18963596337595506	0.1405768602808575	-7.600542711054103e+306
tsk_36	0.2816581494294767	0.9537347072881992	-7.600542711136173e+306
tsk_37	0.582588425488567	0.005645064075850678	-4.846722733975303e+306
tsk_38	0.27579509541700237	0.7932089005772789	-5.486997788285198e+303
tsk_39	0.9207776216821351	0.39730445816199833	-7.953031540099203e+306
tsk_40	0.9042072373987158	0.9536104199753576	-7.953031540017133e+306
