vcf_label	x	y	z
tsk_0	54.77064662066037	85.82554112957236	2.0
tsk_1	77.5004277902882	71.5860881479243	4.0
tsk_2	99.37461800740667	15.941507023518929	-2.0
tsk_3	0.052808861301627985	27.553413618112998	6.0
tsk_4	39.93333716936476	82.39214140675344	4.0
tsk_5	98.06598579837674	81.13101748431598	0.0
tsk_6	19.216421223237965	96.68946106022928	-2.0
tsk_7	31.470749163272917	91.26302602755443	0.0
tsk_8	7.5076485062458795	76.70928516986362	4.0
tsk_9	71.20905024708128	46.76023836624874	-2.0
tsk_10	36.09441684942618	97.12121154557272	-8.0
tsk_11	55.72358046072317	18.969948648914933	-4.0
tsk_12	32.1305764429596	99.48188963708266	0.0
tsk_13	81.07281073525695	99.16711501181354	8.0
tsk_14	60.776588832905006	95.16414792824568	0.0
tsk_15	61.31191216963906	7.535867850389316	4.0
tsk_16	27.443175397855573	73.67775775931321	2.0
tsk_17	88.50899564842575	60.72933273948862	4.0
tsk_18	68.33947160784878	7.581002802101919	-6.0
tsk_19	32.394423181566225	21.87679163778976	0.0
tsk_20	47.82706327269977	80.72956914085714	6.0
tsk_21	51.79368319037853	70.00599207610006	-2.0
tsk_22	65.81947617381113	72.14997502391971	6.0
tsk_23	36.59195689603589	59.009257265956435	-4.0
tsk_24	90.46228859168845	84.25654992140565	-6.0
tsk_25	67.1312187642992	52.21706592120231	6.0
tsk_26	15.340987850744206	99.886956867318	-2.0
tsk_27	24.505774629606197	11.126100759091981	2.0
tsk_28	85.2547860814484	36.27803194374019	8.0
tsk_29	4.205262447616229	31.021008167069134	-4.0
tsk_30	93.41620684385836	96.72159655460992	-10.0
tsk_31	34.85217937504816	46.475162305327	2.0
tsk_32	17.592652752818918	64.03686879243055	4.0
tsk_33	28.584231382603836	45.241288245422986	-6.0
tsk_34	31.695606393649477	65.75074713145521	-4.0
tsk_35	50.45219346963091	41.17211705036643	2.0
tsk_36	48.87825830433029	16.23646486604449	-6.0
tsk_37	96.80877021513174	94.80594506142567	-2.0
tsk_38	48.53411772358798	0.724099431130887	2.0
tsk_39	17.51099194555493	20.923288243814753	-2.0
tsk_40	37.57877185039678	78.30011018179746	10.0
tsk_41	19.176718765876462	55.773834197084646	-8.0
tsk_42	57.5355696488516	19.31936427486265	4.0
tsk_43	15.164337673085106	30.770371142362293	4.0
tsk_44	17.645747411336593	6.177116715645129	-4.0
tsk_45	3.286225786479258	92.6447896397195	14.0
tsk_46	4.0213571812192965	2.112783294777591	4.0
tsk_47	84.0804446074254	26.82939278088861	0.0
tsk_48	60.69477866932837	99.45677805201443	-2.0
tsk_49	33.58107337742902	70.5082286199562	0.0
tsk_50	63.06026489780153	72.3079689002129	12.0
tsk_51	96.26507707418284	30.450317419240328	8.0
tsk_52	11.841686863855786	47.7958347091101	-2.0
tsk_53	90.21007381713592	14.311662926361592	2.0
tsk_54	74.21245310269404	34.246511899698774	-2.0
tsk_55	82.74758460902505	34.247763968089814	10.0
tsk_56	59.2605588704743	85.83064192920672	-14.0
tsk_57	77.25411476024668	95.67505567065612	8.0
tsk_58	93.50578135640221	50.13596982046729	2.0
tsk_59	58.10455836473702	1.0019349271762081	6.0
tsk_60	62.98868558353597	10.07562087362911	-4.0
tsk_61	38.547968129868906	9.369907579607098	-4.0
tsk_62	25.18955434295552	16.49363083097967	0.0
tsk_63	64.99228099175113	68.34851577864113	0.0
tsk_64	99.90969548655457	3.9674828257341193	4.0
tsk_65	27.561563096506344	96.84505941064702	4.0
tsk_66	97.32738573216331	86.80389248824295	0.0
tsk_67	72.04172081114856	72.06555454909524	-2.0
tsk_68	5.28429980484849	88.03385983840376	4.0
tsk_69	0.3269188159449783	69.17443454572849	6.0
tsk_70	14.296421103022823	9.702600285164904	-2.0
tsk_71	20.18970629430605	93.5707862872616	0.0
tsk_72	77.87154390558635	61.9456681033258	-2.0
tsk_73	85.57429247553925	93.42962200214603	0.0
tsk_74	3.282980346589034	56.682930063346745	-6.0
tsk_75	96.97745934154725	73.36597431482679	6.0
tsk_76	38.605239894398046	1.5484604936097233	-12.0
tsk_77	51.66818603531737	92.75224381610114	14.0
tsk_78	87.43734944320262	42.96008910073371	2.0
tsk_79	37.13086151032251	82.7570951077184	0.0
tsk_80	77.60613400483287	14.14669143265297	4.0
tsk_81	52.35263197246513	34.76159127190685	0.0
tsk_82	42.24889459085461	19.588526012607705	0.0
tsk_83	2.0755500394860134	8.438864170135622	0.0
tsk_84	94.63213534270432	36.389234282751815	8.0
tsk_85	1.0243376421890458	5.374983715235027	-4.0
tsk_86	17.100897047700364	28.769678107906863	2.0
tsk_87	88.9070751643338	77.034005298286	0.0
tsk_88	27.75591108415515	95.15516799510077	6.0
tsk_89	28.935301630649715	1.3711232253042278	-2.0
tsk_90	43.21916483448344	84.30612670409141	2.0
tsk_91	95.13458355476307	40.196336823752866	0.0
tsk_92	42.787126050102394	15.881757042297068	-4.0
tsk_93	5.566977742585889	66.8188519495242	-2.0
tsk_94	32.419485954986186	40.28487989637471	0.0
tsk_95	91.53562164066773	42.48793573368452	0.0
tsk_96	25.845751254547338	61.56963688061227	0.0
tsk_97	66.08354643419445	89.77803074624612	0.0
tsk_98	8.72659724620732	53.10413962786181	-4.0
tsk_99	79.77069820002845	1.8817598646706033	10.0
tsk_100	21.27590027851305	70.18012534657706	4.0
tsk_101	50.93098732302686	29.39642039864024	6.0
tsk_102	76.35772709957105	48.16593184447282	-2.0
tsk_103	59.0174976284136	35.47349082385542	-2.0
tsk_104	16.657218514191598	38.6755051286283	-4.0
tsk_105	99.69158680864773	13.004490692389517	-2.0
tsk_106	78.75296088908578	76.6807499747314	2.0
tsk_107	61.19784943715293	44.0458106567562	2.0
tsk_108	51.43687573750681	48.858446553322565	-4.0
tsk_109	14.487118624786493	4.988700126785503	-6.0
tsk_110	75.71644141889814	50.91825461243782	8.0
tsk_111	28.2958082581194	39.8049896460412	-6.0
tsk_112	59.78110705513675	13.889010311362643	4.0
tsk_113	57.28943863875657	41.30891900166998	2.0
tsk_114	58.21226431963603	51.69331258894841	6.0
tsk_115	73.0761627909252	99.32118257634122	6.0
tsk_116	73.66155209369951	95.1325702228775	10.0
tsk_117	92.26748685573853	16.753656120242425	4.0
tsk_118	51.94493685681501	15.027044690546838	2.0
tsk_119	24.670211619011077	41.83007970376751	-4.0
tsk_120	90.48390576533242	46.2935586203351	2.0
tsk_121	53.32738216356461	37.490569875630946	0.0
tsk_122	73.1137758260524	81.97010839013699	2.0
tsk_123	27.23806080577046	14.885142973487635	-4.0
tsk_124	40.42150953290343	89.68703886017843	6.0
tsk_125	41.21793790683649	10.82745157965261	-4.0
tsk_126	82.9226453458558	1.0747136353586701	8.0
tsk_127	30.897250601081907	75.97017772985438	8.0
tsk_128	29.2739015736406	66.76323237191059	2.0
tsk_129	58.9920092694432	40.82580042017465	2.0
tsk_130	18.740685734448096	70.35581482732421	8.0
tsk_131	29.006557312506573	30.39881029829727	-4.0
tsk_132	20.20314403846719	17.793809483837244	-8.0
tsk_133	54.620740706263284	1.3475191922881464	2.0
tsk_134	89.82050142434386	73.90988748386533	4.0
tsk_135	91.23405169673889	22.60917517215023	4.0
tsk_136	6.683218427412786	11.292449233924126	-4.0
tsk_137	2.1939619986134002	10.12105253268808	2.0
tsk_138	98.07676197172007	48.040253490941076	-2.0
tsk_139	45.23342690034299	38.57555462539847	6.0
tsk_140	29.476274836459503	25.142152041362852	-4.0
tsk_141	11.272934776155596	90.94417044008534	12.0
tsk_142	77.17863092500576	32.58998671301687	-2.0
tsk_143	91.38964135512178	5.585436952911547	6.0
tsk_144	70.27840976990989	84.15111239717547	-6.0
tsk_145	82.19028020449025	99.31710498996961	6.0
tsk_146	70.95257896081938	22.487822462434902	8.0
tsk_147	99.40543852430964	37.523141889865656	2.0
tsk_148	31.60589457743467	92.62217049204109	0.0
tsk_149	60.995920217849154	64.89849020416109	-2.0
tsk_150	52.15689011189398	25.013129611589047	0.0
tsk_151	1.5022109687334808	48.064365372701864	2.0
tsk_152	24.327718230081217	89.21150040276024	0.0
tsk_153	56.0893620796675	94.12434908416965	0.0
tsk_154	38.73900825892508	50.55880386492883	-14.0
tsk_155	91.99314331971816	31.77341717412976	4.0
tsk_156	13.848901328829266	1.062145606078099	-8.0
tsk_157	87.42173020891855	1.2527667555204929	8.0
tsk_158	88.8366660131678	49.735376231203105	10.0
tsk_159	69.22964231593957	96.53186469176941	-2.0
tsk_160	52.33870374027908	88.02161433111046	2.0
tsk_161	3.0734852908834975	97.10542211903721	-6.0
tsk_162	82.53041924585159	11.398970758258127	6.0
tsk_163	91.28417818444301	68.4508409849554	6.0
tsk_164	44.96194127585458	73.87597892830152	6.0
tsk_165	64.27766407591618	40.932692839010755	10.0
tsk_166	83.53815661625497	24.331551012854977	-8.0
tsk_167	81.68129024632033	27.255267581859528	-6.0
tsk_168	66.03408001434175	58.384131439075816	12.0
tsk_169	8.137313113365297	85.04919370696564	0.0
tsk_170	74.17855259015101	43.32655735631794	-4.0
tsk_171	47.861438615067534	64.95288184376241	6.0
tsk_172	35.37792951442309	70.99249400982652	4.0
tsk_173	14.087128767921442	48.09241129585779	-6.0
