vcf_label	species	x	y	z
tsk_0	0	15.125336798437178	99.43716360639033	0.0
tsk_1	0	50.44589052154532	99.928447312285	8.0
tsk_2	0	79.19564519334786	97.27599345119224	-6.0
tsk_3	0	1.7217217882390905	4.169024733830932	8.0
tsk_4	0	72.78292933608596	0.8051675720422509	4.0
tsk_5	0	0.9196554398028418	17.076929055631673	2.0
tsk_6	0	87.75491241649495	6.527002954644519	10.0
tsk_7	0	28.56391633770943	1.9904718292350259	-2.0
tsk_8	0	0.3458296679751769	36.941285704273604	8.0
tsk_9	0	39.95268287412661	25.026440829764923	6.0
tsk_10	0	99.96289455775258	83.40861858008967	8.0
tsk_11	0	99.8583913807763	55.33206590723062	-6.0
tsk_12	0	78.24691961279949	69.88416777710505	-2.0
tsk_13	0	87.10936596793049	26.642247389443895	6.0
tsk_14	0	24.200032739887074	18.555210290676783	-10.0
tsk_15	0	63.13504348306454	76.84865942074006	-2.0
tsk_16	0	65.72171151116875	15.00381938825242	-8.0
tsk_17	0	90.64735549942297	0.502840452452756	-4.0
tsk_18	0	33.674912779122515	69.88972936658458	2.0
tsk_19	0	31.159734616254564	25.76390874769333	12.0
tsk_20	0	20.723000419767082	21.804737195173015	-4.0
tsk_21	0	14.313964595464263	47.48590206890366	2.0
tsk_22	0	79.50186763529864	62.058422830185634	-4.0
tsk_23	0	43.21266859823784	18.761937922622074	8.0
tsk_24	0	77.40106639535645	1.0118291566711357	4.0
tsk_25	0	98.04114576285474	7.865940080197232	6.0
tsk_26	0	26.18827783633616	51.95407767877657	8.0
tsk_27	0	35.37317457579618	61.154496358723904	-2.0
tsk_28	0	62.46878197619282	94.1111811345372	-6.0
tsk_29	0	8.573349738072492	41.71813414677238	10.0
tsk_30	0	39.89101205715361	66.6438784094005	-4.0
tsk_31	0	96.37367936616732	3.9554095589748974	-6.0
tsk_32	0	85.46832578013718	30.936516667678784	0.0
tsk_33	0	4.029902829661247	50.60149935713503	4.0
tsk_34	0	59.61438606301887	43.3257596347767	-8.0
tsk_35	0	63.95017414660744	64.46999892856341	-4.0
tsk_36	0	58.19502672592751	99.58108420669015	2.0
tsk_37	0	23.93679048015573	97.56579168687658	10.0
tsk_38	0	26.97993156060986	97.77816723778706	10.0
tsk_39	0	62.8773501942257	29.428124185648002	-8.0
tsk_40	0	82.39124719322722	99.35882566546688	-2.0
tsk_41	0	76.97274969375172	40.50723666536434	-10.0
tsk_42	0	9.527179931854654	22.88798569193627	0.0
tsk_43	0	43.62580543980268	40.02060147492835	-4.0
tsk_44	0	32.33754045546275	99.61981218744837	0.0
tsk_45	0	59.202330750353134	35.12646201388027	0.0
tsk_46	0	39.61373782116809	90.29468613562423	-4.0
tsk_47	0	96.84635166941139	52.72312746183495	-12.0
tsk_48	0	49.157305567682364	31.300194211332077	0.0
tsk_49	0	82.76220999235487	96.64496686591504	-6.0
tsk_50	0	82.638968942415	68.14224904499656	0.0
tsk_51	0	4.750366977724887	46.87582378094228	2.0
tsk_52	0	47.50828818356603	42.01720959696228	-2.0
tsk_53	0	67.01787615338168	68.18195728448767	6.0
tsk_54	0	69.92147602674524	28.43450670550658	-2.0
tsk_55	0	6.16752649433686	8.746361956364566	6.0
tsk_56	0	86.3019522015264	71.07974761591936	-4.0
tsk_57	0	1.5753660041268756	94.46700869738555	8.0
tsk_58	0	49.438704605995845	41.531556930260216	6.0
tsk_59	0	41.95791559020805	83.60624290019379	-2.0
tsk_60	0	57.81767797573921	79.76211955555887	-2.0
tsk_61	0	13.500924071116783	62.93958192419945	6.0
tsk_62	0	0.7851172155274702	12.482381872177676	6.0
tsk_63	0	70.41275522297364	97.106761749385	2.0
tsk_64	0	87.80005517312844	24.037444818623722	0.0
tsk_65	0	90.5041950552237	83.1034217698453	10.0
tsk_66	0	66.69223703926542	78.34953657180965	-6.0
tsk_67	0	93.85037684872843	27.43457869865744	-4.0
tsk_68	0	23.719017449652043	11.116030609697248	6.0
tsk_69	0	87.29287604063688	50.58099731924374	-4.0
tsk_70	0	51.20153369017235	3.9374276094976217	6.0
tsk_71	0	91.87545923051825	17.987279399448653	0.0
tsk_72	0	91.1857591769459	79.61809535012122	4.0
tsk_73	0	56.963381613542744	16.78769304639862	-4.0
tsk_74	0	19.504220373652835	75.74047777213148	-2.0
tsk_75	0	45.35350527588742	44.985738102349885	8.0
tsk_76	0	95.2631984328344	43.55130061508988	8.0
tsk_77	0	14.514303988367018	39.60214641239865	6.0
tsk_78	0	60.105374754688	98.7196935513381	2.0
tsk_79	0	16.171482154152898	2.059204122339221	4.0
tsk_80	0	0.248194701694314	57.02947045591533	4.0
tsk_81	0	3.4151577276691074	56.746110690115536	-6.0
tsk_82	0	53.506322174035354	6.671140364372702	6.0
tsk_83	0	46.03618354238928	28.51102845465984	8.0
tsk_84	0	56.575095683705214	9.695568029862955	0.0
tsk_85	0	90.67855140593949	2.91095595660089	10.0
tsk_86	0	92.20657346758617	95.7111807726705	0.0
tsk_87	0	70.4755422303056	81.76973652393762	-4.0
tsk_88	0	72.95810492290025	80.2834654337075	-8.0
tsk_89	0	99.85961968147639	41.015401227958364	6.0
tsk_90	0	87.57835056495365	68.78953376176338	4.0
tsk_91	0	57.74814167438031	71.73592500989176	-10.0
tsk_92	0	15.735884157167696	14.03434740857168	0.0
tsk_93	0	69.30219219249283	44.523618401424855	2.0
tsk_94	0	69.70843713981094	58.85581175530893	4.0
tsk_95	0	48.47046846839347	64.53515823711356	-2.0
tsk_96	0	73.85917374988861	76.4436726370528	-4.0
tsk_97	0	9.60286226191338	0.5986650489630847	4.0
tsk_98	0	98.56613537254766	12.10033067336718	-10.0
tsk_99	0	33.42246326052596	0.7501785683262748	2.0
tsk_100	0	27.82465528415045	43.92086411469488	-4.0
tsk_101	0	40.81272731544621	13.311661078190197	-4.0
tsk_102	0	7.027792958906997	50.89223488872635	-2.0
tsk_103	0	10.093851651997511	44.72240624998654	10.0
tsk_104	0	37.06323051216161	66.6062424000092	2.0
tsk_105	0	22.280609037758307	4.997908625644898	10.0
tsk_106	0	12.586462334071179	88.93151981678429	8.0
tsk_107	0	2.2491783951665854	77.9322072966631	2.0
tsk_108	0	23.35120177752187	52.8805557200644	0.0
tsk_109	0	53.308182533007816	4.142057016962687	0.0
tsk_110	0	98.42417319690338	89.29089495400171	2.0
tsk_111	0	52.22782188019502	17.195182424617364	-6.0
tsk_112	0	70.44635035613514	68.57753771920555	0.0
tsk_113	0	86.67477498546482	73.22107438049714	4.0
tsk_114	0	56.03757025666061	27.8057072179469	2.0
tsk_115	0	29.543008474749016	98.36650125424	6.0
tsk_116	0	21.477989634160878	25.558804611374697	-2.0
tsk_117	0	79.28623558912369	6.999578554041291	6.0
tsk_118	0	20.59106599271357	60.549011003158824	-4.0
tsk_119	0	18.411416410667428	4.3676382443202355	8.0
tsk_120	0	58.361357453499394	46.737889265195214	10.0
tsk_121	0	64.66416170572526	35.385574213661	-8.0
tsk_122	0	32.14869504060801	58.241202751135994	-6.0
tsk_123	0	90.15722478581858	70.690219233149	2.0
tsk_124	0	45.92908203176763	59.13801787032885	-2.0
tsk_125	0	42.04658274092538	57.46717476771035	-2.0
tsk_126	0	62.996960050515696	72.0295518871613	0.0
tsk_127	0	78.48128308958077	45.47396628591187	-12.0
tsk_128	0	24.529205367725552	45.97042509132763	-6.0
tsk_129	0	37.80688575571034	90.90141916982797	2.0
tsk_130	0	5.446703530688878	1.459545338584853	8.0
tsk_131	0	26.17815867561193	78.92286274836302	-2.0
tsk_132	0	62.918300433389696	16.375221824425427	-2.0
tsk_133	0	74.63124251270517	57.29903326552757	-4.0
tsk_134	0	15.603863235375972	5.793444997973366	0.0
tsk_135	0	14.999711882767043	90.77547171889434	8.0
tsk_136	0	18.547770451552534	87.49026312711322	4.0
tsk_137	0	94.71573671642255	88.97901448424054	2.0
tsk_138	0	80.56391850640763	59.747108441987955	-6.0
tsk_139	0	38.52495596651386	97.92110317904135	-10.0
tsk_140	0	46.83099788522486	4.80362745235509	8.0
