Bₕ,Bₚ,LAₕ,LAₚ
0.009,0.043,-8.185975894997365e-18,3.9110773720542965e-17
0.009,0.045,-8.669267677799298e-18,4.3346338388996497e-17
0.009,0.047,-9.152826012018212e-18,4.779809139609511e-17
0.009,0.049,-9.636650670479606e-18,5.246620920594453e-17
0.009,0.051,-1.0120741426267061e-17,5.735086808218002e-17
0.009,0.053,-1.0605098052721862e-17,6.245224408825097e-17
0.009,0.055,-1.1089720323442652e-17,6.777051308770509e-17
0.009,0.057,-1.157460801228504e-17,7.330585074447192e-17
0.009,0.059,-1.2059760893361268e-17,7.90584325231461e-17
0.009,0.061,-1.2545178741039826e-17,8.502843368926993e-17
0.009,0.063,-1.3030861329945102e-17,9.121602930961573e-17
0.009,0.065,-1.3516808434956998e-17,9.762139425246721e-17
0.009,0.067,-1.4003019831210595e-17,1.0424470318790112e-16
0.009,0.069,-1.4489495294095762e-17,1.110861305880675e-16
0.009,0.071,-1.4976234599256825e-17,1.181458507274705e-16
0.009,0.073,-1.5463237522592205e-17,1.254240376832479e-16
0.009,0.075,-1.5950503840254015e-17,1.3292086533545015e-16
0.009,0.077,-1.643803332864776e-17,1.4063650736731975e-16
0.009,0.079,-1.6925825764431943e-17,1.4857113726556928e-16
0.009,0.081,-1.7413880924517707e-17,1.5672492832065936e-16
0.009,0.083,-1.7902198586068498e-17,1.6509805362707616e-16
0.009,0.085,-1.8390778526499694e-17,1.7369068608360825e-16
0.009,0.087,-1.8879620523478244e-17,1.8250299839362302e-16
0.009,0.089,-1.936872435492234e-17,1.9153516306534314e-16
0.009,0.091,-1.9858089799001023e-17,2.0078735241212148e-16
0.009,0.093,-2.034771663413387e-17,2.1025973855271665e-16
0.009,0.095,-2.0837604638990595e-17,2.199524934115674e-16
0.009,0.097,-2.132775359249073e-17,2.2986578871906674e-16
0.009,0.099,-2.1818163273803264e-17,2.3999979601183593e-16
0.011,0.001,2.909649716291542e-18,-2.6451361057195842e-19
0.011,0.003,2.324351796511317e-18,-6.339141263212683e-19
0.011,0.005,1.738721612180018e-18,-7.903280055363718e-19
0.011,0.007,1.1527594482586655e-18,-7.335741943464236e-19
0.011,0.009,5.664655893825197e-19,-4.634718458584252e-19
0.011,0.011,-2.015968013845959e-20,2.015968013845959e-20
0.011,0.013,-6.071160763191428e-19,7.17500817468078e-19
0.011,0.015,-1.1944033154987723e-18,1.628731793861962e-18
0.011,0.017,-1.782021114340493e-18,2.7540326312534893e-18
0.011,0.019,-2.369969189830896e-18,4.0935831460715474e-18
0.011,0.021,-2.9582472592795556e-18,5.647562949533698e-18
0.011,0.023,-3.546855040318564e-18,7.416151447938817e-18
0.011,0.025,-4.135792250902082e-18,9.399527842959278e-18
0.011,0.027,-4.7250586093058665e-18,1.1597871131932582e-17
0.011,0.029,-5.3146538341268246e-18,1.4011360108152538e-17
0.011,0.031,-5.904577644282549e-18,1.6640173361159912e-17
0.011,0.033,-6.49482975901086e-18,1.9484489277032582e-17
0.011,0.035,-7.085409897869358e-18,2.254448603867523e-17
0.011,0.037,-7.676317780734953e-18,2.582034162610848e-17
0.011,0.039,-8.267553127803434e-18,2.931223381675763e-17
0.011,0.041,-8.859115659588994e-18,3.30203401857408e-17
0.011,0.043,-9.451005096923786e-18,3.6944838106156615e-17
0.011,0.045,-1.0043221160957468e-17,4.108590474937146e-17
0.011,0.047,-1.0635763573156754e-17,4.5443717085306134e-17
0.011,0.049,-1.1228632055304966e-17,5.001845188272212e-17
0.011,0.051,-1.1821826329501577e-17,5.481028570950731e-17
0.011,0.053,-1.2415346118161772e-17,5.981939493296127e-17
0.011,0.055,-1.3009191144015986e-17,6.504595572007993e-17
0.011,0.057,-1.3603361130109482e-17,7.049014403784005e-17
0.011,0.059,-1.419785579980186e-17,7.615213565348271e-17
0.011,0.061,-1.4792674876766653e-17,8.20321061347969e-17
0.011,0.063,-1.5387818084990877e-17,8.81302308504023e-17
0.011,0.065,-1.598328514877456e-17,9.444668497003151e-17
0.011,0.067,-1.657907579273033e-17,1.0098164346481202e-16
0.011,0.069,-1.7175189741782927e-17,1.0773528110754747e-16
0.011,0.071,-1.777162672116884e-17,1.1470777247299887e-16
0.011,0.073,-1.8368386456435773e-17,1.2189929193816468e-16
0.011,0.075,-1.8965468673442262e-17,1.2931001368256087e-16
0.011,0.077,-1.9562873098357235e-17,1.3694011168850065e-16
0.011,0.079,-2.0160599457659536e-17,1.4478975974137304e-16
0.011,0.081,-2.0758647478137534e-17,1.5285913142992186e-16
0.011,0.083,-2.1357016886888634e-17,1.6114840014652335e-16
0.011,0.085,-2.1955707411318897e-17,1.696577390874642e-16
0.011,0.087,-2.255471877914253e-17,1.7838732125321817e-16
0.011,0.089,-2.315405071838155e-17,1.8733731944872346e-16
0.011,0.091,-2.375370295736525e-17,1.96507906283658e-16
0.011,0.093,-2.4353675224729836e-17,2.0589925417271591e-16
0.011,0.095,-2.4953967249417956e-17,2.1551153533588235e-16
0.011,0.097,-2.5554578760678267e-17,2.2534492179870836e-16
0.011,0.099,-2.6155509488065024e-17,2.353995853925852e-16
0.013,0.001,4.133625098766066e-18,-3.179711614435435e-19
0.013,0.003,3.4401125586203216e-18,-7.9387212891238195e-19
0.013,0.005,2.7462066600073837e-18,-1.0562333307720707e-18
0.013,0.007,2.0519077403808997e-18,-1.1048733986666383e-18
0.013,0.009,1.3572161368086351e-18,-9.396111716367474e-19
0.013,0.011,6.621321859730222e-19,-5.602656958233265e-19
0.013,0.013,-3.334377582828306e-20,3.334377582828306e-20
0.013,0.015,-7.292114126818582e-19,8.413977838636825e-19
0.013,0.017,-1.4254703890579601e-18,1.8640766626142558e-18
0.013,0.019,-2.12212036980998e-18,3.1015605404915093e-18
0.013,0.021,-2.8191610201739002e-18,4.554029340280916e-18
0.013,0.023,-3.516592005767739e-18,6.221662779435231e-18
0.013,0.025,-4.2144129925910156e-18,8.104640370367338e-18
0.013,0.027,-4.912623647024198e-18,1.0203141420742567e-17
0.013,0.029,-5.611223635828175e-18,1.2517345033770547e-17
0.013,0.031,-6.31021262614369e-18,1.5047430108496493e-17
0.013,0.033,-7.009590285490817e-18,1.7793575340092076e-17
0.013,0.035,-7.709356281768421e-18,2.075595922014575e-17
0.013,0.037,-8.40951028325361e-18,2.3934760036952582e-17
0.013,0.039,-9.110051958601203e-18,2.733015587580361e-17
0.013,0.041,-9.81098097684319e-18,3.094232461927468e-17
0.013,0.043,-1.0512297007388193e-17,3.477144394751479e-17
0.013,0.045,-1.1213999720020947e-17,3.881769133853405e-17
0.013,0.047,-1.1916088784901725e-17,4.3081244068490856e-17
0.013,0.049,-1.2618563872565862e-17,4.756227921197902e-17
0.013,0.051,-1.3321424653923167e-17,5.226097364231396e-17
0.013,0.053,-1.402467080025743e-17,5.717750403181875e-17
0.013,0.055,-1.4728301983225857e-17,6.23120468521094e-17
0.013,0.057,-1.5432317874858592e-17,6.766477837438e-17
0.013,0.059,-1.6136718147558132e-17,7.32358746696869e-17
0.013,0.061,-1.6841502474098803e-17,7.902551160923285e-17
0.013,0.063,-1.7546670527626287e-17,8.503386486465048e-17
0.013,0.065,-1.8252221981657053e-17,9.126110990828527e-17
0.013,0.067,-1.8958156510077823e-17,9.770742201347802e-17
0.013,0.069,-1.9664473787145054e-17,1.0437297625484682e-16
0.013,0.071,-2.0371173487484443e-17,1.1125794750856886e-16
0.013,0.073,-2.1078255286090393e-17,1.1836251045266143e-16
0.013,0.075,-2.178571885832544e-17,1.2568683956726215e-16
0.013,0.077,-2.2493563879919813e-17,1.3323110913490966e-16
0.013,0.079,-2.320179002697086e-17,1.4099549324082292e-16
0.013,0.081,-2.3910396975942536e-17,1.4898016577318042e-16
0.013,0.083,-2.4619384403664882e-17,1.5718530042339886e-16
0.013,0.085,-2.532875198733354e-17,1.656110706864116e-16
0.013,0.087,-2.6038499404509193e-17,1.7425764986094613e-16
0.013,0.089,-2.6748626333117088e-17,1.831252110498016e-16
0.013,0.091,-2.7459132451446467e-17,1.9221392716012527e-16
0.013,0.093,-2.817001743815013e-17,2.015239709036894e-16
0.013,0.095,-2.888128097224386e-17,2.110555147971667e-16
0.013,0.097,-2.95929227331059e-17,2.2080873116240561e-16
0.013,0.099,-3.030494240047652e-17,2.3078379212670583e-16
0.015,0.001,5.574228132494482e-18,-3.7161520883296546e-19
0.015,0.003,4.771939555795321e-18,-9.543879111590644e-19
0.015,0.005,3.9691963137645926e-18,-1.323065437921531e-18
0.015,0.007,3.1659987965613295e-18,-1.477466105061954e-18
0.015,0.009,2.362347393898295e-18,-1.417408436338977e-18
0.015,0.011,1.5582424950426041e-18,-1.142711163031243e-18
0.015,0.013,7.536844888163726e-19,-6.531932236408562e-19
0.015,0.015,-5.1326236402654844e-20,5.1326236402654844e-20
0.015,0.017,-8.567892926804641e-19,9.710278650378594e-19
0.015,0.019,-1.6627042925261414e-18,2.1060921038664457e-18
0.015,0.021,-2.469070848891245e-18,3.4566991884477434e-18
0.015,0.023,-3.2758885751691627e-18,5.0230291485927165e-18
0.015,0.025,-4.083157085194492e-18,6.8052618086574876e-18
0.015,0.027,-4.890875993242404e-18,8.803576787836328e-18
0.015,0.029,-5.6990449140280256e-18,1.1018153500454184e-17
0.015,0.031,-6.507663462705801e-18,1.3449171156258655e-17
0.015,0.033,-7.31673125486886e-18,1.6096808760711493e-17
0.015,0.035,-8.126247906548419e-18,1.8961245115279645e-17
0.015,0.037,-8.936213034213129e-18,2.2042658817725717e-17
0.015,0.039,-9.746626254768475e-18,2.5341228262398033e-17
0.015,0.041,-1.0557487185556133e-17,2.88571316405201e-17
0.015,0.043,-1.136879544435337e-17,3.2590546940479655e-17
0.015,0.045,-1.2180550649372415e-17,3.6541651948117246e-17
0.015,0.047,-1.299275241925983e-17,4.071062424701414e-17
0.015,0.049,-1.3805400373095904e-17,4.5097641218779956e-17
0.015,0.051,-1.4618494130394057e-17,4.9702880043339794e-17
0.015,0.053,-1.5432033311100176e-17,5.452651769922062e-17
0.015,0.055,-1.624601753559203e-17,5.956873096383745e-17
0.015,0.057,-1.7060446424678687e-17,6.482969641377901e-17
0.015,0.059,-1.787531959959982e-17,7.030959042509262e-17
0.015,0.061,-1.869063668202518e-17,7.600858917356906e-17
0.015,0.063,-1.9506397294053945e-17,8.192686863502657e-17
0.015,0.065,-2.0322601058214102e-17,8.806460458559445e-17
0.015,0.067,-2.113924759746188e-17,9.44219726019964e-17
0.015,0.069,-2.195633653518107e-17,1.0099914806183293e-16
0.015,0.071,-2.2773867495182523e-17,1.0779630614386394e-16
0.015,0.073,-2.3591840101703464e-17,1.148136218282902e-16
0.015,0.075,-2.4410253979406883e-17,1.220512698970344e-16
0.015,0.077,-2.5229108753380986e-17,1.295094249340224e-16
0.015,0.079,-2.6048404049138595e-17,1.3718826132546326e-16
0.015,0.081,-2.6868139492616485e-17,1.4508795326012902e-16
0.015,0.083,-2.768831471017479e-17,1.5320867472963387e-16
0.015,0.085,-2.850892932859651e-17,1.6155059952871356e-16
0.015,0.087,-2.932998297508676e-17,1.701139012555032e-16
0.015,0.089,-3.015147527727231e-17,1.7889875331181573e-16
0.015,0.091,-3.097340586320091e-17,1.8790532890341886e-16
0.015,0.093,-3.179577436134069e-17,1.971338010403123e-16
0.015,0.095,-3.2618580400579615e-17,2.0658434253700424e-16
0.015,0.097,-3.344182361022484e-17,2.1625712601278732e-16
0.015,0.099,-3.426550362000217e-17,2.2615232389201435e-16
0.017,0.001,7.232596700536308e-18,-4.254468647374299e-19
0.017,0.003,6.320967192159185e-18,-1.1154647986163266e-18
0.017,0.005,5.408821497398179e-18,-1.5908298521759349e-18
0.017,0.007,4.4961600593317366e-18,-1.851360024430715e-18
0.017,0.009,3.58298332053134e-18,-1.8968735226342387e-18
0.017,0.011,2.669291723062249e-18,-1.727188761981455e-18
0.017,0.013,1.755085708484213e-18,-1.3421243653114569e-18
0.017,0.015,8.403657178521956e-19,-7.414991628107607e-19
0.017,0.017,-7.486780828289803e-20,7.486780828289803e-20
0.017,0.019,-9.906144298735055e-19,1.1071573039762708e-18
0.017,0.021,-1.906873707374694e-18,2.3555498738157985e-18
0.017,0.023,-2.823645201743432e-18,3.82022586118229e-18
0.017,0.025,-3.7409284744378805e-18,5.501365403585119e-18
0.017,0.027,-4.658723087416677e-18,7.399148432955898e-18
0.017,0.029,-5.577028603138223e-18,9.513754675941673e-18
0.017,0.031,-6.495844584559965e-18,1.1845363654197583e-17
0.017,0.033,-7.415170595137688e-18,1.4394154684679042e-17
0.017,0.035,-8.335006198824812e-18,1.7160306879933436e-17
0.017,0.037,-9.255350960071659e-18,2.0143999148391253e-17
0.017,0.039,-1.0176204443824783e-17,2.3345410194656855e-17
0.017,0.041,-1.1097566215526238e-17,2.676471851979857e-17
0.017,0.043,-1.2019435841112868e-17,3.0402102421638424e-17
0.017,0.045,-1.2941812887015623e-17,3.425773999504135e-17
0.017,0.047,-1.3864696920158839e-17,3.833180913220385e-17
0.017,0.049,-1.4788087507959543e-17,4.2624487522942216e-17
0.017,0.051,-1.5711984218326767e-17,4.7135952654980293e-17
0.017,0.053,-1.6636386619660813e-17,5.186638181423665e-17
0.017,0.055,-1.756129428085259e-17,5.681595208511132e-17
0.017,0.057,-1.848670677128291e-17,6.198484035077211e-17
0.017,0.059,-1.9412623660821767e-17,6.737322329344024e-17
0.017,0.061,-2.0339044519827668e-17,7.298127739467574e-17
0.017,0.063,-2.126596891914695e-17,7.880917893566223e-17
0.017,0.065,-2.219339643011305e-17,8.485710399749107e-17
0.017,0.067,-2.3121326624545844e-17,9.112522846144538e-17
0.017,0.069,-2.404975907475094e-17,9.761372800928323e-17
