x,y,z,W,spp
43.9612,17.9215,-35.0982,1.02052,1
42.7815,11.6126,-42.6293,1.02974,1
52.4043,20.4769,44.3953,1.01543,1
53.1554,28.0284,16.1911,1.00432,1
23.7421,15.8614,13.5407,1.05265,1
34.5475,16.9552,-26.3761,1.04845,1
27.9379,4.64246,-4.47483,1.07822,1
32.5339,15.9115,-28.1509,1.04635,1
14.4651,34.3308,14.354,1.04009,1
9.68923,22.676,39.1815,1.06323,1
81.3242,45.1981,-48.8911,1.01239,1
80.9017,48.5934,-20.6298,1.01239,1
96.8388,37.055,-3.2103,1.08038,1
96.2658,39.3174,51.0614,1.07284,1
72.67,31.6432,-22.3863,1.00432,1
75.6985,17.613,0.706776,1.0195,1
71.7272,21.1517,-31.17,1.00031,1
70.806,15.6953,-86.7961,1.02358,1
57.5627,22.4471,-96.0686,1.01848,1
67.1802,23.1408,-60.1811,0.990357,1
68.3281,22.4736,-38.5456,0.985418,1
64.4588,18.3532,-93.911,1.00935,1
67.6317,23.6932,-7.16602,0.991348,1
63.8533,21.9114,-0.120239,1.00031,1
67.3816,22.7747,15.5155,0.990357,1
61.5795,11.1216,-10.2442,1.02666,1
55.2039,7.15399,-15.2991,1.0474,1
59.5999,13.9155,-68.7639,1.02154,1
68.2441,24.6414,-17.2667,0.995321,1
51.5444,32.5,-36.0958,0.995321,1
63.5668,33.1797,-10.9523,1.01848,1
53.488,28.957,-0.512585,0.99931,1
61.8571,20.4281,19.9429,1.01036,1
55.0982,23.4452,-52.6683,1.0134,1
41.5509,91.9521,-0.178816,1.06217,1
46.8798,96.5792,28.8644,1.06323,1
45.2129,95.5107,-18.7303,1.06323,1
54.9761,95.8292,8.33902,1.06323,1
43.9304,94.5998,0.215381,1.06323,1
43.2032,90.2438,22.7306,1.05793,1
32.2858,82.2123,-21.3109,1.04531,1
28.8514,82.9331,-25.4336,1.0474,1
18.2364,48.0913,40.3551,1.01848,1
19.7084,55.9509,7.50905,1.00332,1
14.5466,53.594,25.4288,1.02052,1
46.6849,71.4281,-26.0626,1.00633,1
44.655,63.4763,-28.5375,1.00633,1
42.1341,54.8608,-36.1235,1.00532,1
57.3091,56.4311,-8.2869,1.00332,1
57.3388,51.9487,7.42672,1.01441,1
41.0566,62.6566,-18.3077,1.00633,1
53.938,57.1234,-61.0036,1.00031,1
43.5104,47.4054,-16.5105,1.00834,1
42.079,71.7075,-10.9481,1.01543,1
44.5023,62.1264,-36.3581,1.00231,1
40.7784,65.4527,-20.5826,1.01644,1
48.8161,53.9097,-67.0688,1.00031,1
60.3002,57.6038,-29.8084,1.0195,1
37.5629,55.5952,-0.492301,0.995321,1
30.8731,42.8781,-44.9111,1.00734,1
43.8829,52.7671,-59.925,1.00332,1
38.6619,53.7769,-32.0186,0.998312,1
52.4639,59.8566,-1.99743,0.996317,1
42.3421,53.5757,-48.8602,1.00834,1
67.6556,45.7645,-36.8166,1.02461,1
74.6954,35.1694,14.4873,1.00432,1
72.8977,46.0128,7.22731,1.01036,1
72.445,31.5072,20.3747,1.00231,1
77.1713,20.8693,5.29964,1.03491,1
67.3413,16.4119,1.93466,1.00834,1
78.5168,16.1986,2.48717,1.03801,1
76.0204,33.1812,28.1527,1.0134,1
80.4747,34.6949,22.4386,1.01746,1
76.3111,36.9657,-8.54261,1.01543,1
87.2671,63.5756,25.3758,1.03905,1
77.3366,50.6761,-13.3111,1.01137,1
85.8222,56.2835,-39.7496,1.03284,1
86.9017,44.9594,43.9504,1.02769,1
83.0322,52.2025,-5.67018,1.03181,1
80.7262,48.4461,6.14384,1.01239,1
83.7459,43.0234,4.04832,1.02052,1
79.8221,40.7565,14.7055,1.01644,1
86.1336,51.8167,-14.537,1.04113,1
88.4878,55.9887,8.09348,1.04531,1
79.1544,53.0124,25.977,1.01746,1
78.5746,61.1787,15.1012,1.02358,1
99.5549,56.6935,-32.2456,1.08688,1
85.7739,33.5924,-38.0787,1.04113,1
91.9257,70.0696,-3.52834,1.0516,1
87.9824,43.5819,-1.94552,1.03077,1
89.2737,52.6588,-13.5496,1.04635,1
83.4802,45.814,-30.7502,1.0134,1
82.1069,50.7082,-39.4078,1.02358,1
87.5538,63.0146,-27.8086,1.03801,1
89.4618,60.1737,-43.0558,1.04218,1
75.9625,62.1867,-24.4109,1.01848,1
83.0941,51.9377,-25.1453,1.02974,1
79.84,43.3974,-27.7366,1.01848,1
73.4374,57.2356,12.4724,1.02256,1
73.4763,51.4771,-25.6639,1.01543,1
78.5262,32.4355,8.63403,1.01543,1
71.9863,50.8747,9.7888,1.01644,1
94.518,24.2676,-34.1823,1.07284,1
89.6394,25.0472,56.2429,1.04635,1
97.1279,46.7278,-52.2906,1.08038,1
98.5759,44.128,-44.165,1.08797,1
58.2885,30.9033,-88.9003,1.00734,1
50.5812,36.7816,-10.2734,1.00834,1
58.7461,47.0145,-0.193421,1.02461,1
64.2134,39.5371,-7.77065,1.02358,1
59.1714,34.4382,-1.36563,1.02358,1
63.0591,50.3199,-11.0441,1.02358,1
56.6,51.4645,-1.7327,1.01137,1
57.8498,49.7501,32.2643,1.02154,1
51.6562,35.3408,23.3316,1.00633,1
57.5546,33.7769,22.8994,1.0195,1
52.5511,31.815,-2.56994,0.998312,1
55.6017,34.6626,-40.0112,1.01848,1
99.1112,59.4531,-21.1596,1.08688,1
72.0834,48.7027,-20.7922,1.01848,1
70.8098,33.4227,1.0896,1.00532,1
52.5823,27.3398,-48.6647,0.994326,1
63.3892,18.1399,12.5029,1.01848,1
94.3636,12.975,2.79079,1.06749,1
95.7313,13.7893,-42.1101,1.07391,1
95.8521,9.54475,4.26069,1.07499,1
87.6267,12.6462,14.7454,1.06429,1
98.22,13.2139,-14.561,1.0793,1
78.9037,14.1047,-40.5553,1.04218,1
96.8725,7.86738,-14.9116,1.08038,1
85.9926,9.28432,-16.7966,1.0707,1
93.779,13.3546,36.8159,1.06642,1
93.3689,14.8544,19.2108,1.06856,1
89.8293,23.0168,24.3012,1.06004,1
85.2796,25.5147,-14.6538,1.04845,1
86.0879,26.2203,-53.5146,1.04322,1
86.2327,59.3505,-32.8293,1.02871,1
83.946,70.926,5.02648,1.03181,1
82.9064,68.7226,-7.71911,1.02052,1
86.5809,71.4584,27.7388,1.02871,1
77.0083,70.1167,16.6559,1.02052,1
84.4758,53.6876,0.102529,1.03594,1
82.3614,57.8789,-27.3449,1.02871,1
36.5363,58.5755,-19.7454,1.00935,1
55.6195,63.9323,41.5224,1.01644,1
55.9526,69.2745,-38.8796,1.02461,1
69.2852,57.481,-25.4136,1.01543,1
41.5869,69.1023,-1.22854,1.00734,1
50.32,77.8675,-4.77563,1.02974,1
46.7274,50.4889,-15.6395,0.997314,1
53.8666,61.4455,22.922,1.00131,1
68.0036,67.3268,-16.9736,1.00935,1
63.1085,58.5395,-46.7851,1.01848,1
56.7794,61.0847,-25.3873,1.00131,1
57.0552,67.6937,-9.76016,1.01746,1
64.8825,64.7743,-16.2842,1.01441,1
69.8781,63.9034,-17.238,1.01137,1
75.5588,62.6817,18.3651,1.01543,1
81.2011,61.7865,4.72031,1.02256,1
91.8929,55.8636,-4.62188,1.06217,1
82.647,62.2776,-24.6278,1.02461,1
76.6098,64.9174,25.4892,1.01644,1
82.2858,65.9943,-33.4558,1.01441,1
75.7906,50.0146,-25.7974,1.01543,1
77.2185,48.1489,-9.09174,1.01239,1
44.8581,64.6461,-58.3929,1.00532,1
40.6572,49.1995,-11.0221,1.00432,1
43.7477,55.4742,-30.2811,1.00031,1
48.0314,56.8062,-52.0336,1.00432,1
23.1596,60.1534,31.7439,1.02256,1
28.0813,59.1498,-29.9225,1.01036,1
11.9043,67.1613,-22.3474,1.04009,1
26.7024,65.5427,-27.8325,1.03181,1
30.292,50.2467,-4.95788,0.993333,1
69.6689,89.3634,33.1393,1.04531,1
73.2565,89.4343,46.8256,1.0474,1
78.2429,89.6938,9.35326,1.05581,1
74.2528,72.9176,8.63938,1.02154,1
80.7495,36.3661,-45.3644,1.01746,1
68.3996,22.7106,-47.0017,0.984433,1
64.775,20.743,-13.0889,0.99931,1
54.3074,31.5439,54.2289,0.996317,1
44.2026,11.1336,1.4142,1.02871,1
57.7061,24.5603,-37.8152,1.01036,1
45.8291,8.12379,32.7915,1.04113,1
47.5101,3.51557,-2.87266,1.06429,1
40.0354,9.27118,28.9629,1.03594,1
49.1322,31.6754,-30.292,0.997314,1
51.5755,26.0984,-23.0425,0.994326,1
17.9646,6.10752,-61.1665,1.07714,1
25.75,19.7558,-6.79993,1.03698,1
49.9311,36.9287,41.4437,1.00532,1
54.4896,42.3264,11.6218,1.0195,1
52.7852,32.8076,-19.8809,1.00031,1
36.212,28.4572,-45.4206,1.02154,1
43.9113,28.567,17.0701,1.01441,1
46.9606,23.7169,18.9604,1.00432,1
71.7419,19.9246,-51.1711,1.00131,1
70.5876,17.5407,-46.9919,1.00432,1
87.585,29.9786,-1.88617,1.04635,1
26.8678,35.432,9.98689,1.01543,1
33.1256,6.20954,-26.7473,1.06856,1
38.8564,15.3551,-14.3069,1.03801,1
28.3883,0.889482,28.4042,1.08905,1
17.872,20.6635,-1.07037,1.04113,1
46.3778,29.5411,-25.3052,1.00734,1
61.6297,1.49442,-18.1042,1.06856,1
26.2652,19.1338,40.3951,1.04218,1
22.3019,18.8709,-9.45435,1.03594,1
27.0162,16.2617,-25.8338,1.04845,1
35.5578,25.3572,-24.7575,1.02871,1
28.3201,30.4967,-37.5553,1.02154,1
13.4148,15.1805,-9.28659,1.06963,1
19.8882,9.03727,-1.04049,1.07177,1
24.2291,7.21268,-8.96409,1.07284,1
18.1931,21.8431,-44.3006,1.03594,1
12.211,15.0557,-15.4867,1.06963,1
14.0439,10.6448,-28.8594,1.07177,1
20.0561,12.9735,32.2768,1.06536,1
89.9692,59.6488,-33.3544,1.0474,1
98.1226,47.0209,-33.6669,1.08471,1
92.8744,51.7961,14.7101,1.0707,1
70.6898,69.0762,28.157,1.00935,1
69.8118,76.8594,3.64709,1.01543,1
65.4155,77.5251,-54.5483,1.02563,1
79.1957,70.0816,-33.0383,1.02666,1
80.1289,60.3634,-25.5187,1.03077,1
61.4411,56.7509,-11.7859,1.02666,1
56.7197,60.8727,-8.61684,1.00231,1
61.8584,56.9114,-7.85514,1.02461,1
53.9496,55.0957,-17.1691,1.00031,1
53.0989,55.4333,-41.0256,0.99931,1
72.7756,71.3095,-7.9385,1.01239,1
77.9507,69.8662,-31.241,1.02256,1
69.7193,72.7161,-23.9192,1.01137,1
87.2993,71.0522,-3.81195,1.03181,1
91.0193,65.0627,0.141339,1.05476,1
68.1483,59.235,-13.0926,1.01137,1
66.7643,80.8316,-30.9839,1.0195,1
54.8986,80.2653,-36.8143,1.03594,1
57.4806,72.3718,-30.4222,1.02666,1
67.7645,68.0505,-28.415,1.00633,1
65.1795,72.2757,-23.3378,1.01848,1
70.7057,55.3463,-12.1458,1.01746,1
73.2179,65.3942,-6.71358,1.00935,1
89.8051,56.3612,2.8918,1.0537,1
82.8183,54.8827,-9.52329,1.02256,1
67.13,62.884,-23.6082,1.01036,1
79.0006,70.6526,-4.52225,1.02666,1
45.7726,52.6159,-30.9287,1.00432,1
56.0588,42.2712,-56.5914,1.02052,1
49.9775,48.5916,-61.0723,1.00432,1
78.6313,76.8117,-62.1051,1.01441,1
81.2017,77.6746,-32.8242,1.02461,1
62.9534,75.1214,-32.6409,1.02256,1
67.976,83.7775,-10.9539,1.02358,1
72.8092,77.1676,2.72717,1.00935,1
67.305,74.7961,17.2528,1.01746,1
93.6753,13.8042,29.2334,1.06536,1
78.0866,12.5147,10.8587,1.03491,1
32.0393,49.7897,-32.0986,0.998312,1
31.7011,57.0649,-64.4243,1.00734,1
23.4105,50.4433,-27.2702,1.00432,1
15.0877,67.5821,-53.9703,1.02256,1
44.3862,61.1055,12.6321,1.00834,1
47.8207,62.9056,39.5165,1.00131,1
42.565,40.8827,16.4415,1.00834,1
38.8491,59.9135,-17.6098,1.01644,1
52.4468,71.9598,-28.007,1.01746,1
44.5101,86.6629,-14.7126,1.0474,1
