x,y,z,W,spp
10.2462,39.7683,24.6285,1.03698,1
11.7767,33.4159,46.3719,1.05476,1
16.2547,30.0378,30.3316,1.05687,1
31.3346,76.1848,-9.3621,1.04218,1
15.5634,83.1645,-7.74231,1.05687,1
22.864,58.6976,-11.0645,1.03698,1
14.0688,49.0715,5.56221,1.03491,1
32.0032,48.9373,-17.5891,1.01644,1
32.2311,43.2255,-17.4654,1.01644,1
11.1419,45.9192,2.29027,1.03698,1
19.1069,60.5341,22.1955,1.04322,1
8.91585,42.4279,26.1923,1.04531,1
12.7738,50.7862,-21.9461,1.04009,1
31.2172,78.4572,16.7253,1.04218,1
8.16909,58.4316,-25.5608,1.06642,1
9.51062,67.7276,13.8194,1.0707,1
7.98039,73.6589,13.5367,1.06536,1
2.31654,67.4858,-2.68281,1.08146,1
15.2833,60.0449,15.376,1.06429,1
20.163,52.9632,10.5119,1.03387,1
41.6106,64.4172,-1.54918,1.00834,1
15.9864,59.7926,-13.9926,1.05793,1
9.85015,58.2602,0.106664,1.06323,1
8.28093,76.9618,24.8415,1.0707,1
18.1204,79.3517,34.3775,1.04635,1
18.4857,81.4534,8.94475,1.05265,1
21.3163,81.1685,23.878,1.04635,1
29.7127,63.6267,18.6246,1.02052,1
28.9195,62.8221,26.9065,1.02052,1
3.65926,53.4958,40.8947,1.06963,1
35.3221,63.0109,10.2625,1.01137,1
16.667,53.8447,2.65863,1.04009,1
70.5872,50.3474,4.41012,1.01137,1
72.3948,51.5254,-17.18,1.01644,1
71.3753,50.3099,11.4569,1.0134,1
72.5483,46.1696,17.0803,1.02256,1
78.0339,52.8434,-12.4356,1.02461,1
76.6804,55.4381,4.1031,1.02563,1
92.0422,71.4627,-15.3449,1.06429,1
87.8608,63.6881,1.63846,1.06429,1
84.2439,67.2294,2.64838,1.0516,1
82.3342,66.5876,-12.7495,1.04635,1
84.4896,71.1312,-1.27118,1.04845,1
88.8069,69.5962,-14.2429,1.05687,1
36.282,52.0604,15.3996,1.01441,1
35.8252,49.7171,11.911,1.01239,1
15.009,57.6676,-4.7426,1.05265,1
77.2275,50.702,25.2127,1.03181,1
37.1947,22.769,10.8168,1.02461,1
39.695,48.1374,-30.0161,0.996317,1
44.1836,44.0589,-17.1299,1.00734,1
44.2768,38.813,-25.3225,1.01239,1
73.2968,67.9069,-11.2411,1.04845,1
80.6402,69.0059,-4.73671,1.04426,1
73.3196,68.3503,-0.440057,1.04426,1
66.6604,76.3579,-14.827,1.02256,1
14.7757,59.0239,-29.5878,1.05687,1
6.23481,51.034,15.915,1.05265,1
2.06186,36.5157,20.1863,1.07822,1
8.59019,43.1913,-15.2453,1.04426,1
7.55062,44.3546,3.32116,1.04635,1
26.1371,67.636,5.5081,1.03181,1
30.4657,61.6191,-16.3638,1.01441,1
23.2577,59.8547,10.754,1.03905,1
19.6901,38.3361,29.2036,1.02154,1
6.82406,39.8536,-8.64035,1.0537,1
10.6306,41.6538,-20.4438,1.03905,1
7.98353,47.9432,-16.5943,1.04009,1
3.04459,48.0342,3.75348,1.06323,1
12.0833,58.8112,-16.8788,1.06004,1
4.88709,44.1837,-24.594,1.05793,1
27.9686,22.4871,18.5963,1.04009,1
24.2603,41.3109,16.8066,1.02769,1
23.3184,33.6712,13.859,1.04009,1
10.3899,25.9828,-20.9455,1.07391,1
24.3159,27.7687,-14.2416,1.04531,1
10.4982,55.198,6.0813,1.0537,1
15.8097,40.5391,-4.70852,1.03594,1
8.41787,33.8321,21.2206,1.06004,1
26.7136,30.8201,-12.7991,1.03698,1
3.9356,39.5266,4.66375,1.06323,1
89.9364,10.7338,7.18038,1.07391,1
84.0005,9.63801,-32.2834,1.06004,1
82.0385,15.6767,7.76867,1.06217,1
53.6025,68.7682,4.11757,1.02666,1
54.2262,66.9922,-0.0712924,1.02052,1
40.3814,60.4763,0.512026,1.01036,1
36.8873,59.7887,-10.4816,1.00734,1
31.499,47.3955,-31.9369,1.01441,1
42.0507,50.3648,-31.8808,1.00332,1
32.9691,53.4019,9.60737,1.01644,1
34.5101,56.1307,-17.019,1.00734,1
43.7685,60.4729,-9.09999,1.01137,1
35.8962,62.208,17.4047,1.01036,1
35.487,59.8628,-18.8818,1.00834,1
34.0952,70.2843,26.9735,1.02358,1
26.8743,67.2507,-7.04934,1.02871,1
29.5439,72.0165,11.9425,1.03594,1
30.627,68.2446,3.96825,1.02358,1
38.6018,62.8729,6.48393,1.0134,1
57.3485,83.9654,-9.06768,1.02666,1
