x,y,z,W,spp
68.3507,19.9271,56.3415,1.01543,1
70.8658,10.2767,-31.6757,1.05476,1
2.19221,74.9255,-49.2721,1.08688,1
6.15059,81.0136,115.049,1.07391,1
10.2799,74.4789,-54.5687,1.06323,1
39.5612,80.9147,-82.108,1.00633,1
42.4232,94.824,-2.07584,1.06536,1
40.8925,80.5917,-34.1104,0.99931,1
54.6304,74.0413,1.81562,1.00834,1
54.8823,86.9388,-25.1651,1.0495,1
23.0509,89.5646,36.9735,1.04845,1
23.3093,72.5846,44.5278,1.02974,1
25.5284,77.6007,68.8483,1.02154,1
2.72219,85.6178,5.78482,1.08688,1
7.86145,83.3293,42.7103,1.07499,1
22.2725,69.8291,-56.9284,1.03077,1
21.0101,68.2499,-14.1526,1.02871,1
18.7154,84.1965,-87.1236,1.05265,1
26.2513,72.8269,-124.437,1.02563,1
48.9791,82.7102,-80.3632,1.02256,1
34.3313,72.6232,224.813,1.0134,1
34.8186,80.8871,77.4976,1.00031,1
30.0263,86.742,-69.8361,1.0474,1
25.9897,88.0678,19.829,1.05055,1
33.3265,85.8666,11.0551,1.03181,1
39.6743,85.817,48.1506,1.02358,1
38.3887,96.5702,3.36913,1.07606,1
49.0882,37.8995,27.4421,1.00031,1
24.4377,60.6014,33.7026,1.02769,1
19.8389,53.021,25.0086,1.02974,1
22.0197,60.0784,24.3761,1.02358,1
23.7018,43.2272,111.113,1.00834,1
25.7607,61.5129,35.9464,1.02871,1
39.6103,26.2773,-31.9481,1.01543,1
75.4479,92.3816,-91.4557,1.06536,1
73.598,99.4183,-55.873,1.08362,1
86.0039,84.3891,77.9458,1.05898,1
77.1815,99.8857,-73.9472,1.08579,1
74.0678,90.2248,-32.3734,1.0537,1
69.1032,90.3485,13.2355,1.04426,1
88.8487,52.9219,59.7833,1.03698,1
98.671,51.2343,57.1595,1.08471,1
91.4244,61.5342,69.5836,1.04635,1
99.1054,62.7364,43.1853,1.08254,1
94.1762,53.6429,51.4765,1.05581,1
91.9134,59.9101,108.609,1.04845,1
82.0798,57.6248,104.888,1.0195,1
87.4975,59.8859,107.763,1.02154,1
36.4101,97.9256,4.39343,1.0793,1
97.7768,61.4271,-2.86213,1.07284,1
91.4104,55.2607,-39.7499,1.04426,1
98.6726,56.2212,-81.1388,1.07606,1
94.6488,59.144,91.2615,1.05898,1
95.6716,32.8047,-9.79284,1.0707,1
96.7351,41.6031,-112.632,1.07499,1
61.0654,26.396,57.4295,1.00633,1
66.6817,25.3181,-48.5538,1.01543,1
65.0332,22.4111,13.066,1.01036,1
71.3707,58.1588,-8.28567,1.01543,1
73.9523,14.7445,13.6682,1.05476,1
68.4742,12.8843,43.1657,1.04009,1
62.2053,16.3249,-37.6794,1.02563,1
63.5534,12.2135,-5.96075,1.03387,1
72.0011,21.4062,60.2887,1.02052,1
74.5974,25.3734,-46.2112,1.0195,1
54.4877,38.2422,89.5922,0.990357,1
73.5665,41.0805,53.936,1.01137,1
62.5979,31.0213,-13.3622,1.00332,1
66.7495,39.5683,-24.4119,1.01036,1
55.3242,44.1076,-70.5253,1.01137,1
83.2578,70.4707,72.999,1.0195,1
85.2488,68.9327,-64.2648,1.02974,1
83.8578,80.0971,-46.5659,1.04426,1
85.8703,70.3793,61.9307,1.03181,1
79.8847,85.5331,-6.15055,1.05793,1
80.7075,66.2058,-90.6132,1.01644,1
87.7357,77.9674,-13.436,1.04635,1
96.5572,68.1136,-53.7152,1.08362,1
90.5629,55.312,22.4519,1.04322,1
79.8654,54.4065,21.7458,1.01239,1
92.909,57.0554,13.4281,1.04531,1
