x,y,z,W,spp
69.279,39.7618,43.4664,1.02154,1
64.1775,85.5612,-14.1025,1.03801,1
70.7019,33.312,77.1044,1.02769,1
74.6157,40.5293,-26.9635,1.01543,1
79.2616,38.99,70.6905,1.01036,1
73.1019,55.597,0.81314,1.02052,1
71.6038,69.3308,10.4057,1.01746,1
70.3905,71.6199,-12.8479,1.02974,1
71.2813,56.8556,56.2035,1.01137,1
48.2987,40.9136,-44.7527,1.00532,1
38.1663,59.8909,-29.3842,1.01746,1
31.083,61.9225,-26.8831,1.02052,1
26.7458,53.0761,23.78,1.01746,1
29.0851,46.6496,-67.9102,1.02871,1
15.3896,45.2085,18.9149,1.01848,1
29.2318,52.0558,-48.7217,1.01746,1
5.7117,48.3299,-18.7025,1.05265,1
8.71461,43.8078,5.23724,1.03491,1
26.2882,31.3109,-41.6292,1.0195,1
31.1027,29.3275,39.9571,1.0134,1
19.0777,30.0486,-1.2261,1.03181,1
25.4766,23.8631,-32.0934,1.04009,1
24.3898,29.5254,39.8183,1.02154,1
23.6984,31.7806,95.6985,1.02358,1
13.2852,42.4504,67.7746,1.02256,1
16.1317,49.3382,-63.0348,1.00633,1
11.0601,51.0407,19.1684,1.01848,1
14.519,64.1036,25.2232,1.01848,1
10.2785,55.6944,30.5682,1.02974,1
24.1027,66.9777,94.0351,1.00834,1
12.5151,42.99,1.95702,1.02358,1
13.3365,51.2212,57.8138,1.0195,1
17.5242,60.7448,-22.6743,1.01746,1
24.0921,39.1074,-5.72603,1.02256,1
32.1752,45.12,-55.809,1.03387,1
10.5047,36.302,13.4023,1.04113,1
19.1578,33.7934,68.1227,1.02563,1
20.3153,43.7871,40.8607,1.01746,1
15.9511,34.5422,54.504,1.03387,1
11.5954,56.0776,-8.87983,1.02871,1
10.0573,50.0903,-10.1992,1.02666,1
11.0604,52.9351,-40.3089,1.02563,1
4.54433,59.9777,54.7898,1.05687,1
1.82778,57.6591,22.7229,1.07284,1
7.26871,60.935,-11.9919,1.04218,1
2.02663,60.635,75.7915,1.06856,1
38.5477,34.8578,-24.9359,1.01441,1
49.7301,71.9675,-22.3837,1.02666,1
53.9433,72.7998,-10.8322,1.03077,1
33.9611,71.554,11.5817,1.02052,1
10.891,19.3294,-26.0408,1.05898,1
39.3847,0.268657,24.0585,1.09014,1
37.654,5.98143,50.7417,1.07177,1
44.0144,7.35961,17.5311,1.05476,1
45.8496,97.9481,-75.3881,1.0707,1
50.5905,97.1333,7.30222,1.06536,1
62.6187,90.9661,2.73829,1.0474,1
35.3122,97.8168,30.0171,1.06536,1
60.6484,71.5751,-76.0455,1.02769,1
57.2016,77.4164,-78.8796,1.03594,1
53.7789,76.4339,-59.2493,1.02769,1
59.1963,77.839,-67.6752,1.03491,1
65.0941,73.9483,-71.9718,1.02666,1
62.4503,90.502,-106.031,1.04322,1
71.4154,86.2099,17.1977,1.04531,1
69.0855,74.3029,108.535,1.02769,1
52.7932,77.6725,84.9736,1.02256,1
49.4729,41.8466,-28.3192,1.00532,1
43.5437,58.9723,-23.2961,1.01644,1
45.4334,83.9002,10.5731,1.03077,1
77.225,68.8141,10.774,1.03387,1
67.1862,58.9021,-11.4973,1.00332,1
64.7682,58.2098,31.7077,0.997314,1
43.5756,63.3781,-57.0486,1.03284,1
39.5805,56.0784,-28.0257,1.01644,1
45.9189,53.078,-34.6374,1.01441,1
10.3977,72.4656,49.9918,1.04635,1
5.33043,84.0477,-8.80292,1.08688,1
7.93372,76.1762,46.4311,1.06749,1
17.3941,51.7265,-46.0607,1.00231,1
21.2863,61.7995,-12.4872,1.01746,1
28.6327,55.2416,-13.297,1.01848,1
14.7635,48.896,-30.8495,1.01239,1
12.9451,49.8651,24.3545,1.01644,1
14.5169,55.8644,-37.716,1.01644,1
26.0056,55.856,22.5942,1.01137,1
24.2706,46.5143,28.3041,1.01848,1
3.97577,44.1341,-65.8665,1.05687,1
35.8431,43.7339,34.4691,1.02974,1
13.348,54.5664,-1.0084,1.01848,1
22.9614,53.6999,-7.75699,1.01441,1
18.766,45.4526,-12.4197,1.01644,1
21.0885,33.6264,-41.9132,1.01543,1
21.4004,30.5731,-44.9022,1.01746,1
27.4091,31.3583,-52.5799,1.01848,1
18.6728,60.2425,-50.653,1.01543,1
8.5059,67.2295,-15.7152,1.03801,1
14.4373,72.1436,23.7674,1.03801,1
71.5848,73.6308,46.5897,1.02871,1
66.0949,71.7292,81.3638,1.02256,1
64.5392,68.3761,127.449,1.01848,1
70.5693,71.0193,73.2339,1.02769,1
64.1154,61.4459,-68.5428,1.00633,1
69.1265,62.9548,-35.7914,1.00332,1
67.3104,63.0119,-73.2662,1.00834,1
76.1151,84.1596,-16.0728,1.04635,1
76.1727,74.0209,-24.2785,1.03284,1
74.2852,80.8065,-14.4124,1.04113,1
74.7149,84.9709,20.4641,1.04635,1
71.2024,70.8557,-74.2379,1.02666,1
65.0029,87.7649,-145.094,1.04426,1
91.6736,92.0093,-88.7317,1.07714,1
53.4125,90.8616,33.8577,1.03801,1
54.0673,88.4111,-58.1825,1.03594,1
63.3788,97.1348,52.8023,1.0707,1
71.0369,74.4846,-88.3137,1.03284,1
15.8123,83.3524,-17.7304,1.06429,1
10.0655,84.7842,42.4187,1.0707,1
25.9604,81.6294,15.5037,1.0474,1
18.2014,83.4247,-84.3564,1.0611,1
39.2875,64.2558,96.6837,1.02974,1
42.9553,59.696,79.977,1.01746,1
24.3683,75.1913,41.1823,1.02461,1
28.4874,78.3369,36.0269,1.02871,1
31.038,68.0329,-15.0003,1.00734,1
33.1891,76.3265,-77.9562,1.03077,1
3.06739,44.7737,5.47281,1.0611,1
2.58708,46.4201,-25.9445,1.0707,1
83.167,81.3919,48.4841,1.06323,1
92.1728,87.0977,5.90529,1.07606,1
93.4836,90.9916,40.334,1.0793,1
85.5075,85.9499,-28.7687,1.06856,1
90.7812,81.7972,40.1665,1.0707,1
26.3863,36.3286,-2.13346,1.02666,1
20.3936,28.5927,-51.5396,1.02769,1
14.0639,18.6883,-33.3553,1.05793,1
20.0236,14.3511,59.9894,1.05687,1
28.7105,10.2123,-10.3263,1.06642,1
17.8966,17.6334,-78.9424,1.05265,1
19.9388,25.702,-104.386,1.04322,1
38.058,45.6237,23.6566,1.02769,1
42.1721,41.6196,62.0552,1.02154,1
56.9251,42.3436,-5.62303,1.00332,1
61.7579,33.1349,-45.1802,1.00935,1
55.1318,48.7625,18.5099,1.00633,1
43.5258,42.5508,-27.5321,1.01644,1
54.8665,49.2631,-76.7461,1.00332,1
62.0483,52.8414,15.7252,1.01239,1
63.0004,39.7064,10.8013,1.01746,1
68.0643,53.7386,13.5238,1.02052,1
66.3343,47.7969,18.1009,1.02461,1
40.3086,31.6108,-10.1545,1.00633,1
46.7352,39.4748,12.275,1.01543,1
13.4552,61.5713,87.1878,1.02666,1
14.7777,55.3954,102.892,1.01543,1
12.3987,66.7875,64.9925,1.02461,1
15.8638,65.5608,18.3274,1.01137,1
15.028,59.603,91.3731,1.02769,1
9.89005,67.6925,55.9838,1.04218,1
6.36986,58.3828,-22.1153,1.05055,1
11.0231,75.4739,-10.2781,1.0537,1
7.13189,67.258,-56.309,1.04531,1
22.4868,74.6637,-12.9408,1.02871,1
21.5706,77.4525,65.9878,1.03387,1
27.1183,65.3458,56.5528,1.01036,1
7.69522,59.1389,17.6891,1.04218,1
6.83821,61.0239,-30.5852,1.04322,1
3.19316,62.1193,57.4112,1.06217,1
10.0551,51.957,-35.8522,1.02974,1
13.372,83.3198,0.275052,1.06217,1
5.69306,93.1045,-11.6429,1.09561,1
14.797,66.6689,109.571,1.01543,1
11.8986,65.9699,34.6499,1.02871,1
2.77229,63.6489,122.802,1.06536,1
26.4833,56.4849,-29.0457,1.01441,1
31.7951,59.3766,17.9108,1.01848,1
28.3216,71.4963,-42.029,1.00131,1
20.6598,57.5462,-31.1788,1.00935,1
36.495,50.8701,17.1237,1.03181,1
