x,y,z,W,spp
11.8274,81.9931,-15.2661,1.05476,1
19.3626,73.0335,13.173,1.02358,1
13.4231,74.3861,-143.079,1.03284,1
31.6419,52.3599,-93.1,1.00131,1
27.1968,45.9907,31.0259,1.01746,1
33.5144,46.2004,38.3301,1.00532,1
9.05982,56.5539,25.2948,1.05055,1
15.2745,62.4798,240.962,1.0474,1
4.81422,59.8785,12.9251,1.06856,1
24.6223,91.7468,-178.497,1.06323,1
36.2687,87.7996,-140.634,1.04113,1
40.2999,89.5441,-1.32601,1.04009,1
21.9099,77.678,-13.833,1.04113,1
25.0015,75.0347,-109.119,1.02563,1
17.6481,70.5754,58.0271,1.03284,1
21.6846,74.3203,62.3486,1.02358,1
27.672,57.6533,-235.307,1.01441,1
3.48105,75.4822,-53.0511,1.06749,1
25.5663,73.1927,-146.305,1.02154,1
41.1157,80.941,-37.5073,1.02052,1
25.5681,86.9442,-43.342,1.05581,1
30.4476,87.1503,38.4008,1.0516,1
20.6211,65.6064,198.049,1.03284,1
13.086,62.7131,12.3277,1.04531,1
14.3432,53.4107,35.921,1.05055,1
44.5316,78.4832,4.32015,1.00633,1
46.3053,72.985,-251.486,1.00131,1
25.0891,74.9097,-71.2779,1.02563,1
41.9264,3.41804,236.329,1.07606,1
48.8896,12.6389,-132.798,1.03594,1
29.4225,10.7236,-27.5854,1.05687,1
31.4647,23.7666,148.354,1.03077,1
36.88,13.5464,199.637,1.05476,1
23.9886,15.1343,230.214,1.03594,1
49.3951,5.4384,2.60005,1.0707,1
49.1363,0.0215861,-13.4759,1.09124,1
33.3898,7.05134,-58.3381,1.07177,1
41.5528,20.6001,-166.754,1.03284,1
37.9409,12.4483,101.81,1.05581,1
47.4948,1.34381,-127.169,1.08254,1
73.0456,1.56877,150.56,1.08797,1
68.0648,11.0967,-2.55202,1.02974,1
67.681,11.1778,180.243,1.02871,1
65.2672,36.3557,-21.3258,0.99931,1
61.8256,61.656,3.72404,1.0134,1
60.4867,66.0624,-19.3414,1.00734,1
74.0802,69.1354,58.1105,1.01441,1
65.4524,72.165,170.648,1.00935,1
63.0361,68.5819,-249.305,1.01137,1
61.5648,73.2077,-149.162,1.00432,1
66.4181,60.3749,221.588,1.00935,1
70.312,61.6954,102.152,1.0195,1
66.7245,60.0491,225.835,1.00834,1
42.9817,53.3541,2.94806,0.982466,1
59.6689,34.5799,-162.262,1.00834,1
88.0978,38.2928,-61.3043,1.03698,1
91.3874,38.9194,-301.737,1.04845,1
98.5586,31.4246,-306.988,1.08471,1
98.2745,28.4753,-115.131,1.08362,1
82.9085,35.3117,48.8498,1.02769,1
74.3133,32.453,88.7776,1.03181,1
71.0802,28.975,-114.05,1.01036,1
61.758,31.942,126.525,1.00734,1
58.3507,33.3768,-37.0197,1.00734,1
67.3381,37.8161,11.1928,1.00935,1
70.4758,24.157,-23.1951,1.01441,1
62.4928,28.7786,-76.9579,1.00935,1
90.7063,90.8341,228.182,1.07284,1
84.4963,95.8066,-129.835,1.08146,1
74.9053,98.7099,-161.944,1.09124,1
51.9015,84.2705,184.031,1.02154,1
49.2916,78.6923,-134.084,0.995321,1
54.0756,76.1328,-76.5166,0.989367,1
81.6424,83.4873,-74.7645,1.04426,1
95.774,66.4221,-64.2461,1.0611,1
99.1489,65.561,-108.777,1.08579,1
93.849,85.3668,51.4859,1.07284,1
82.151,86.441,96.4421,1.05581,1
26.4178,68.467,-95.39,1.01441,1
26.6049,71.474,-53.7114,1.02563,1
52.3043,92.2748,217.076,1.0474,1
54.2278,77.3506,-26.4609,0.990357,1
56.2388,66.6111,112.615,1.00432,1
78.9406,78.7377,-48.575,1.04322,1
65.7149,77.6162,114.368,1.01239,1
64.3713,70.402,180.427,1.01543,1
74.7463,82.6098,157.777,1.04426,1
56.3392,49.4895,-60.7009,0.990357,1
65.9203,54.2885,-18.8354,1.00332,1
79.4135,37.2983,112.961,1.02256,1
54.7385,89.3852,-111.205,1.04218,1
56.4869,90.6253,-54.5619,1.03594,1
46.5224,88.894,-94.534,1.04218,1
55.9234,91.7933,-49.0767,1.03698,1
67.1192,91.3397,-49.3713,1.05265,1
19.5607,57.9544,-72.0233,1.03284,1
12.0396,64.4422,-102.054,1.04531,1
15.3892,69.1247,-232.347,1.02871,1
14.2248,60.6362,91.7543,1.04426,1
3.49808,74.1443,81.9131,1.06429,1
0.967429,65.6679,-73.3398,1.08254,1
17.5914,61.5329,107.508,1.03698,1
33.7787,70.6585,29.3675,1.01644,1
23.3422,25.0756,-3.99716,1.02666,1
25.3203,15.9604,-62.2528,1.03905,1
