x,y,z,W,spp
24.6974,62.4451,102.797,1.01036,1
25.0985,68.4801,-145.89,1.0134,1
11.3032,56.7124,56.9447,1.0474,1
15.0469,55.1756,108.564,1.03594,1
42.7136,23.2376,-45.1044,1.03181,1
50.4243,16.1463,46.836,1.03801,1
52.326,16.6365,-57.6937,1.03284,1
35.6144,9.71263,54.3816,1.05265,1
33.3005,24.0843,107.136,1.02974,1
45.2552,35.71,74.0357,1.00734,1
51.0876,33.4474,-116.682,1.00734,1
25.0161,12.3436,190.748,1.03491,1
41.3112,32.0066,123.629,1.00633,1
36.6676,31.8422,53.8916,1.00935,1
43.2218,31.6536,20.2177,1.00332,1
33.0729,28.1034,249.293,1.01137,1
40.8985,20.6187,62.4246,1.04009,1
24.9982,3.25368,117.621,1.06323,1
30.0503,7.83476,148.363,1.0474,1
40.327,5.66553,213.116,1.06429,1
32.3485,43.652,74.447,1.01137,1
26.4144,43.3118,-125.905,1.01441,1
30.1526,36.5933,57.7775,1.00935,1
23.4809,34.0697,49.955,1.01036,1
31.2824,14.1347,22.4047,1.0474,1
14.8373,43.4112,-96.2082,1.02871,1
23.8452,50.0806,59.9616,1.01746,1
26.3413,54.4271,152.462,1.02052,1
22.0166,52.4623,251.63,1.02769,1
31.8197,42.201,-129.341,1.01239,1
22.8505,77.8545,-88.6257,1.0474,1
18.2652,38.0682,-267.684,1.01441,1
9.83226,49.8666,69.198,1.06004,1
17.0289,42.4966,27.7275,1.02154,1
1.44739,48.8162,111.125,1.08362,1
20.3565,45.0006,167.811,1.01848,1
14.2179,35.2337,142.308,1.02871,1
36.7433,29.1288,-65.9938,1.00734,1
29.905,29.9705,-80.2208,1.01239,1
29.0909,41.5288,-66.573,1.01239,1
22.4141,37.0142,-130.723,1.01441,1
19.8197,41.4484,-163.791,1.01239,1
71.867,42.7933,-35.4321,1.0195,1
70.4851,43.4694,-32.9225,1.01543,1
72.9429,42.7673,13.5115,1.01848,1
63.6847,22.2845,123.916,1.04218,1
60.8161,44.6516,-79.5868,1.01036,1
62.8682,54.814,89.6675,1.02052,1
65.658,36.7066,-278.556,1.01137,1
