x,y,z,W,spp
25.6495,68.9068,-50.3569,1.02563,1
28.4797,73.6649,33.5875,1.03491,1
10.2071,68.2182,-60.2725,1.0537,1
15.2705,60.8052,-38.1282,1.03284,1
25.4687,67.1299,4.1939,1.02052,1
27.051,61.9012,8.47593,1.03387,1
19.3063,69.5889,-60.5637,1.02974,1
44.8743,69.9104,-67.891,1.02769,1
19.6403,55.3432,-58.3527,1.03491,1
9.75995,76.1547,-18.9855,1.05476,1
19.4278,70.0636,-39.3935,1.02769,1
29.3966,53.1868,-100.027,1.01543,1
57.7851,71.4721,56.7727,1.02871,1
53.3075,67.1191,-34.7703,1.01746,1
50.6042,69.2624,-14.1933,1.02461,1
54.9776,57.2975,-88.007,1.02666,1
54.9345,71.3061,-12.4966,1.01746,1
54.7989,52.1357,16.0958,1.02666,1
61.0911,50.6251,-37.4589,1.0195,1
62.444,60.5787,64.4435,1.02974,1
43.4135,70.0198,24.1768,1.02974,1
41.8246,70.9719,-12.4834,1.03077,1
21.3906,38.1696,38.2265,1.02666,1
18.4811,36.3572,-61.4944,1.03181,1
19.0628,37.5634,59.4087,1.02563,1
14.2477,30.1908,45.1211,1.05055,1
16.9127,38.3962,-10.2921,1.04322,1
9.31216,53.8581,-74.1043,1.04322,1
4.05124,55.4246,65.4218,1.06323,1
6.74784,54.6732,41.127,1.05581,1
23.4838,47.8206,-30.0755,1.02256,1
2.46318,50.7703,-38.2438,1.07714,1
1.24789,60.0088,-96.9104,1.08579,1
28.5784,78.2729,41.212,1.04009,1
29.3944,66.0268,-50.5475,1.02052,1
21.5199,74.937,13.5387,1.02974,1
29.6105,77.2316,-69.7521,1.03491,1
7.67212,65.4353,12.1998,1.06004,1
32.0593,86.7562,-30.5684,1.05687,1
38.0736,81.3377,-4.074,1.04531,1
27.284,85.8712,58.2587,1.05055,1
10.6716,60.3581,-40.0089,1.04426,1
19.7341,77.6078,67.3544,1.04113,1
37.3078,44.2184,-8.16847,1.02358,1
38.0563,37.5055,-32.3042,1.02563,1
22.6228,45.7744,156.815,1.01746,1
32.0367,39.9809,-66.5442,1.01036,1
34.4952,46.3346,-75.0983,1.01441,1
50.86,71.7233,-1.15442,1.02256,1
32.6894,51.6504,83.1414,1.01239,1
14.1931,46.5106,-95.5984,1.04009,1
20.3971,47.678,-24.8646,1.01644,1
14.3169,44.5183,-25.4845,1.03801,1
18.1907,43.3076,125.18,1.01848,1
13.8039,48.5664,34.5436,1.03905,1
3.81229,54.07,-0.647111,1.06536,1
9.77822,59.6242,-91.4729,1.04845,1
4.34622,75.9344,-3.70535,1.07714,1
4.94857,78.237,-49.9925,1.07822,1
4.67334,79.606,-57.689,1.0793,1
1.82791,82.2585,-59.9573,1.08905,1
22.9968,65.585,-2.74283,1.01848,1
15.7602,72.7771,-100.127,1.03387,1
28.965,53.6408,125.967,1.02052,1
24.4553,46.5176,156.225,1.02052,1
30.2526,63.7476,-34.7522,1.02974,1
