x,y,z,W,spp
72.0191,69.9929,-90.518,1.03284,1
68.5321,60.7349,23.1947,1.03387,1
89.6276,98.457,-3.36068,1.08471,1
89.2754,97.4334,59.3116,1.08146,1
88.0337,98.598,30.701,1.08579,1
66.7923,91.8657,29.3293,1.05687,1
82.4553,98.7432,35.9801,1.09014,1
95.4167,96.7409,35.218,1.08797,1
90.9062,96.8869,47.1687,1.08362,1
93.2692,92.9894,85.2595,1.08146,1
92.7462,96.6719,-68.4663,1.08362,1
91.1842,95.8498,-52.3313,1.08254,1
85.8834,87.9237,26.5502,1.07499,1
79.9608,80.6598,23.6004,1.05898,1
76.587,86.7033,21.2038,1.0474,1
83.6293,74.0645,-21.441,1.05476,1
82.8974,66.0461,-86.0777,1.04218,1
78.5949,76.7279,-80.2753,1.0495,1
91.8328,67.1388,34.4397,1.06323,1
91.7983,70.1299,140.865,1.06536,1
99.1418,79.2144,-8.00157,1.09233,1
60.426,76.3525,-23.1567,1.01848,1
67.5914,76.8241,-33.2805,1.02974,1
48.0699,96.8759,-62.0145,1.07822,1
58.7221,96.4186,-49.7036,1.07284,1
44.2536,93.4186,153.727,1.06429,1
55.0622,52.71,73.7866,1.01036,1
42.8299,46.2513,5.86227,0.998312,1
48.9829,33.9525,9.98574,0.990357,1
50.4305,38.6392,-43.5951,1.00532,1
44.1273,27.116,158.086,1.00734,1
59.4785,30.0059,182.136,1.01441,1
53.8521,15.7591,160.792,1.02461,1
65.9697,17.9811,-4.95376,1.02666,1
66.6217,26.6193,133.224,1.02769,1
67.8078,43.5858,106.635,1.01543,1
69.6817,43.0375,170.588,1.01239,1
85.6331,28.0548,101.342,1.04635,1
80.9106,26.567,-20.7282,1.03801,1
85.6883,22.4038,79.2333,1.04009,1
68.2892,71.4653,11.8327,1.03181,1
57.4055,60.7552,-13.0379,1.01644,1
52.2042,95.304,14.2805,1.06749,1
55.1564,91.1091,34.6999,1.06323,1
60.261,98.7921,-127.339,1.07822,1
59.8893,86.2908,121.642,1.04218,1
59.4259,84.0918,88.7258,1.03491,1
60.2883,86.0255,2.27045,1.04009,1
65.1071,80.0188,66.7576,1.02563,1
62.3583,80.6281,46.1651,1.02974,1
58.3411,68.9622,176.705,1.01137,1
92.4641,78.1814,95.8302,1.07391,1
84.6801,69.2504,66.4913,1.0516,1
86.2419,66.6511,48.7618,1.04322,1
59.9531,51.8504,51.5199,1.00935,1
59.4508,48.5976,86.8588,1.00935,1
72.8844,98.2659,-77.2246,1.08254,1
76.4182,95.6427,93.5438,1.06856,1
67.5426,80.4334,-199.037,1.03698,1
70.1845,87.6074,-166.709,1.04113,1
65.2038,93.877,-221.262,1.06217,1
65.8772,82.8316,-124.553,1.02871,1
65.7589,88.4063,-166.749,1.04635,1
64.0263,79.8354,-61.7005,1.02769,1
66.4692,92.896,27.3213,1.05687,1
50.7381,72.1901,-94.5484,0.997314,1
78.8874,95.1247,101.66,1.0707,1
69.2998,86.9408,153.165,1.04426,1
82.7373,78.7752,169.67,1.05687,1
29.5447,55.5624,-91.4127,1.02974,1
32.4512,50.6196,0.253976,1.01036,1
37.4844,68.7598,-47.3701,1.01036,1
39.6742,54.646,104.452,1.00834,1
40.8902,47.2703,-33.6643,1.00031,1
43.0369,68.043,-56.8047,1.01137,1
43.3576,66.8247,-13.7404,1.01137,1
56.6371,72.7831,-21.441,1.00734,1
45.8598,67.9045,-56.7489,1.01137,1
39.5127,80.0668,87.6299,1.01441,1
60.9142,88.308,84.1861,1.0495,1
55.2516,86.187,58.2456,1.03698,1
56.583,80.6015,21.6457,1.02461,1
58.0346,98.6361,120.311,1.08038,1
59.7618,91.1298,0.648593,1.05476,1
67.488,96.573,72.1362,1.06963,1
65.2394,82.9734,-87.3101,1.02461,1
48.4051,84.5528,103.005,1.01746,1
49.13,97.2517,-13.1752,1.0793,1
37.8251,92.3153,89.5317,1.06429,1
53.6815,82.8906,74.9589,1.02052,1
50.0168,88.8005,-54.5817,1.04426,1
47.069,85.6244,80.5619,1.02563,1
71.5814,82.1014,9.07863,1.04845,1
77.1405,80.8319,-95.2193,1.0516,1
34.3979,82.7836,-64.9993,1.04009,1
48.4626,72.8119,29.0475,0.993333,1
52.5034,74.28,60.5566,1.01036,1
56.0135,42.9255,67.6127,1.01644,1
22.5939,41.6895,-91.2333,1.0134,1
36.8957,39.4441,121.805,0.991348,1
19.2601,35.1644,-109.121,1.02461,1
26.6899,39.1662,-35.5242,0.998312,1
34.4965,36.5741,89.4113,1.00231,1
21.4639,29.1686,-13.7543,1.03387,1
38.3935,31.4623,-69.5421,0.995321,1
37.7113,66.5096,40.7858,1.0195,1
41.9464,62.8118,-44.5494,1.01746,1
22.085,48.6381,-13.3553,1.01848,1
31.0387,53.1845,22.3223,1.02154,1
24.4947,67.0382,-3.70703,1.02256,1
39.1664,55.0412,-69.2454,1.01137,1
33.3401,67.1693,31.1357,1.02052,1
34.9147,77.3112,-47.1297,1.01239,1
45.6621,52.0405,125.426,1.00633,1
47.1614,56.9835,34.4657,1.00633,1
51.7223,44.4198,-21.6931,1.02052,1
36.9393,47.4718,135.012,0.995321,1
49.0064,48.9057,-26.2653,1.00834,1
39.1136,41.9047,145.888,0.996317,1
48.6714,42.4415,43.1652,1.01746,1
76.6935,17.7072,-101.211,1.05476,1
79.0268,26.4705,-95.1859,1.03905,1
83.8137,9.7241,145.665,1.07177,1
13.0578,51.0579,17.7084,1.04426,1
4.6055,74.5133,-27.0445,1.06856,1
16.1885,63.8699,80.5808,1.03284,1
25.0505,50.8297,19.8201,1.01644,1
15.3813,47.0577,-95.4334,1.03284,1
13.1763,38.8531,-51.0959,1.04009,1
12.7451,32.8458,37.0605,1.03698,1
5.70953,34.6463,227.81,1.06217,1
