x,y,z,W,spp
48.519,16.0379,-109.995,1.02769,1
64.7182,14.8126,-18.006,1.02974,1
66.0121,1.6032,-151.025,1.07284,1
66.1492,15.5348,-86.1454,1.03181,1
47.1549,30.5895,-45.4166,1.00935,1
40.9657,35.4426,-18.8857,1.02256,1
33.1971,83.8489,-114.718,1.04426,1
37.3222,85.2574,-152.837,1.04009,1
40.7818,88.9756,-200.772,1.03594,1
29.8074,95.653,-8.74374,1.07177,1
14.6654,79.7228,-38.5947,1.06217,1
10.8572,72.8355,87.8536,1.06429,1
13.8895,85.7876,13.353,1.07391,1
20.4295,87.7621,-24.9768,1.06323,1
22.304,74.135,105.476,1.05265,1
19.143,71.3177,95.9619,1.0516,1
46.3908,97.4792,-43.4042,1.06429,1
29.5573,55.6892,-109.396,1.02769,1
31.4511,57.0326,-90.8998,1.02563,1
26.0113,51.7774,-65.3039,1.02154,1
16.2661,57.5797,-54.7242,1.0516,1
8.85732,56.4393,-6.46396,1.06217,1
7.3535,57.2049,-53.7928,1.06217,1
23.8376,80.7646,8.58068,1.05687,1
15.9775,80.7566,65.7356,1.05687,1
7.66797,74.2186,15.8097,1.07606,1
15.1544,75.0499,135.257,1.05793,1
23.8331,70.7751,120.958,1.0474,1
25.6095,85.0804,4.18487,1.05265,1
34.0318,93.2937,-47.2811,1.06323,1
21.6348,83.7498,-81.9739,1.05898,1
24.6266,91.3532,-57.3957,1.06749,1
20.6038,85.509,-37.6695,1.05898,1
32.6023,83.244,-7.10351,1.04322,1
28.6908,78.2947,109.074,1.04635,1
37.4963,85.1872,-41.0366,1.04113,1
24.9887,90.351,42.3592,1.06323,1
19.8258,61.6335,-12.8513,1.05265,1
24.2921,54.3756,-61.8434,1.03077,1
22.1534,41.9468,-15.2178,1.0516,1
30.7739,35.1407,-18.1216,1.03077,1
27.4901,44.0529,-40.1792,1.03491,1
21.3579,34.726,-44.1494,1.05265,1
12.0991,28.3658,-1.56074,1.05581,1
11.9249,30.6423,-48.4795,1.05265,1
17.7461,28.3793,36.8529,1.04009,1
6.48891,55.8899,-27.2648,1.06429,1
19.9735,40.7349,-65.8832,1.04635,1
13.1508,43.3607,-39.1192,1.0611,1
30.6093,52.8037,-40.0823,1.02052,1
27.5383,28.3066,-132.219,1.03491,1
44.5206,8.11872,-6.6707,1.04845,1
39.4242,9.35452,-20.8781,1.0474,1
47.6469,2.96795,14.5526,1.06429,1
15.0133,45.0179,6.40678,1.05687,1
32.7607,53.8852,-59.3339,1.01543,1
18.7429,62.886,201.213,1.05055,1
47.7156,50.2611,-6.99713,1.01137,1
49.653,45.7311,-91.5672,1.00432,1
50.8127,60.6413,96.9034,1.01137,1
12.3022,47.8195,35.8693,1.06323,1
9.25144,53.1138,-80.6414,1.06323,1
19.4246,46.1275,-66.6093,1.04426,1
7.52916,22.5575,89.8059,1.07822,1
11.8322,19.8549,-52.0073,1.0707,1
61.9967,74.8512,-14.8259,1.03698,1
63.6478,72.8128,67.6326,1.03284,1
57.2738,62.7837,-169.058,1.00935,1
67.6092,80.1695,50.5942,1.03594,1
72.99,71.619,71.8799,1.02563,1
67.9358,66.0828,63.6108,1.02769,1
84.9064,69.9718,4.45767,1.03698,1
74.5922,61.4524,73.1982,1.0134,1
45.7803,85.7644,-26.9535,1.03491,1
47.2827,82.0741,14.0416,1.03905,1
53.4016,13.4026,-77.0507,1.02154,1
58.0734,12.1483,-82.9214,1.02974,1
46.0464,14.5078,-106.615,1.02974,1
47.5206,27.2139,-84.8985,1.00834,1
67.0284,30.2776,-40.9214,1.03284,1
18.6025,47.6047,-18.1401,1.04426,1
29.9381,31.9393,25.3808,1.03491,1
44.3244,57.1086,142.76,1.02154,1
37.312,48.738,109.36,1.01239,1
30.5834,46.6004,-55.8295,1.01848,1
11.7057,63.52,54.0455,1.05265,1
6.00247,60.3295,53.3325,1.06217,1
4.7776,63.7352,-25.324,1.07499,1
7.21258,68.505,-1.01847,1.0707,1
41.0898,64.5424,-53.2265,1.00031,1
48.1517,65.6497,-92.3811,1.01543,1
45.4668,83.5606,90.9403,1.04426,1
89.8773,69.2108,-71.6329,1.05476,1
80.8131,71.3849,77.2238,1.02871,1
97.3071,76.6353,-137.198,1.08905,1
82.1946,62.8394,13.6694,1.02256,1
94.6668,75.0328,-8.75736,1.07714,1
96.0044,53.9329,8.20692,1.06004,1
80.0383,60.0653,55.2846,1.00834,1
81.3064,55.6062,-94.0434,1.02871,1
81.7099,60.9685,-112.223,1.02256,1
81.6727,55.3658,-58.2846,1.03077,1
80.6092,63.4801,16.2138,1.01239,1
80.4123,55.4988,-76.717,1.02358,1
64.1586,52.8576,-80.8047,1.00734,1
60.5614,47.1224,-77.2405,1.00935,1
63.1814,38.8086,-8.5372,1.02871,1
36.1711,63.7509,-65.7657,1.0195,1
39.2448,58.5319,-49.7335,1.02256,1
35.7968,72.0133,129.013,1.02666,1
30.5533,77.0815,-46.1031,1.04113,1
60.3967,78.3888,-96.5737,1.03077,1
62.1446,79.1052,-4.64075,1.03801,1
64.2775,80.6036,-51.8371,1.04322,1
44.4912,73.4709,-122.447,1.03284,1
46.0073,61.0872,0.111622,1.01644,1
24.0967,67.8829,48.6,1.04426,1
28.2264,48.6142,27.2227,1.0134,1
12.0711,22.4451,-29.1794,1.07177,1
9.97431,49.1046,-106.56,1.07177,1
4.77235,44.3774,-50.0705,1.09124,1
9.4898,56.8225,26.3074,1.05687,1
16.2245,55.9232,38.3943,1.05687,1
9.55083,42.1453,-6.43318,1.07499,1
14.2084,50.2598,-37.046,1.05476,1
42.6279,10.8093,131.637,1.03905,1
41.0479,17.8882,91.7863,1.03491,1
52.3788,16.6896,61.0956,1.01441,1
43.2262,5.01175,99.666,1.06429,1
33.3812,16.8652,-44.8193,1.02666,1
25.8603,6.23932,-35.1287,1.06963,1
34.1172,12.802,193.477,1.04009,1
14.5311,13.8533,99.1476,1.0611,1
22.813,2.39907,22.2582,1.08362,1
19.4532,13.5229,-3.25758,1.05898,1
22.3738,9.91746,53.0371,1.0611,1
40.8184,17.1577,64.413,1.03698,1
45.8587,11.7104,50.4741,1.03387,1
23.2342,7.45755,-15.2156,1.06749,1
29.649,37.3056,61.8841,1.03698,1
17.1424,41.0441,120.124,1.05265,1
18.7173,49.8467,40.9993,1.04635,1
28.6414,44.6051,28.5242,1.03077,1
53.0127,73.8752,-55.2027,1.01848,1
53.133,69.2834,9.83205,1.01239,1
46.6127,75.7293,-49.6926,1.03077,1
54.9581,65.2392,53.7509,1.00935,1
61.9146,64.3894,101.596,1.02256,1
