x,y,z,W,spp
66.1152,60.8271,67.5888,1.01239,1
66.9127,66.1771,-48.2341,1.02461,1
55.2554,86.3048,140.138,1.05581,1
48.0522,83.9776,143.388,1.03698,1
83.7881,67.8012,133.648,1.04009,1
71.7251,68.7344,146.99,1.02666,1
4.13528,32.5706,-42.5345,1.07391,1
8.53884,37.7877,-66.3118,1.05581,1
11.753,28.2155,254.24,1.06429,1
79.9687,96.36,67.8557,1.0793,1
73.572,80.2996,-154.629,1.02666,1
70.3413,98.5863,-129.355,1.08471,1
64.4732,89.5872,-76.8408,1.04531,1
72.6996,84.4392,-52.833,1.02563,1
63.0724,91.2937,181.724,1.0537,1
49.0734,94.487,-84.5885,1.0793,1
51.8166,78.1611,-141.391,1.03077,1
58.9789,93.3093,-50.7217,1.06536,1
50.3076,89.7417,50.0134,1.05581,1
60.5133,95.8583,148.316,1.07177,1
47.6006,94.2353,137.127,1.07606,1
90.1513,65.4194,-30.8359,1.06004,1
73.2655,74.0134,-95.9609,1.03491,1
77.2728,71.496,114.465,1.03594,1
86.9625,81.1486,32.5392,1.0537,1
83.7974,62.3915,-56.0227,1.03594,1
84.3606,81.6141,-95.0343,1.04322,1
81.9844,76.5651,-29.1146,1.03801,1
76.5754,77.1837,-0.598298,1.02871,1
89.8816,82.2585,-59.9672,1.06429,1
45.985,21.5595,-9.79419,1.02052,1
49.723,24.9173,41.344,1.02461,1
63.7299,22.6155,-53.9288,1.02563,1
66.4976,28.989,-193.317,1.02358,1
46.163,43.2232,27.8106,1.02666,1
38.1671,37.4492,102.857,1.02358,1
38.2562,40.4997,60.3982,1.01441,1
5.09661,31.2499,142.308,1.0707,1
5.15809,44.782,268.55,1.07714,1
8.54344,58.6728,66.7865,1.05476,1
24.4781,37.6681,59.1522,1.02871,1
5.94916,35.6603,-31.4219,1.06642,1
28.403,37.9928,115.295,1.03181,1
30.0309,41.6029,208.225,1.02666,1
14.9723,44.0442,89.1766,1.03181,1
13.4655,44.7512,211.795,1.03284,1
11.5471,49.6877,359.889,1.03698,1
26.2608,46.875,321.527,1.02974,1
73.1405,33.7475,308.806,1.02769,1
68.559,23.1302,-80.8039,1.02358,1
82.4163,23.8914,-1.02415,1.04218,1
80.6303,31.5568,-188.324,1.03284,1
91.5395,43.5335,40.8095,1.04426,1
86.9164,24.214,-67.3162,1.04113,1
51.0379,48.7955,-204.462,1.00031,1
48.049,47.0456,-187.266,1.0134,1
58.5455,57.0875,-20.0877,0.99234,1
58.3544,56.466,265.72,0.99234,1
52.9616,52.0205,159.774,0.993333,1
54.8192,47.4594,-98.4396,1.01137,1
49.4505,57.9683,87.5719,0.993333,1
39.7175,58.6618,94.4167,1.03181,1
38.9242,57.0114,133.22,1.02769,1
52.9718,50.3967,156.209,0.993333,1
34.131,38.3219,72.1137,1.02154,1
46.9207,79.2015,206.291,1.02769,1
41.0673,77.7358,59.7331,1.02563,1
45.8579,69.2267,85.8991,1.00734,1
56.3326,69.8869,43.1864,1.01848,1
54.0188,73.9684,-261.502,1.02358,1
53.6077,84.3684,-12.5635,1.04218,1
76.8168,79.0868,216.743,1.03491,1
71.1163,74.9255,99.7598,1.03284,1
84.7613,89.3393,-24.3275,1.06963,1
86.7706,89.4551,103.736,1.07606,1
93.0412,81.3761,62.2102,1.07499,1
76.5195,78.6617,8.10681,1.03801,1
80.6064,84.0287,132.426,1.04113,1
82.3042,76.3853,106.872,1.03905,1
75.6051,71.5392,290.157,1.03801,1
78.7624,79.0816,84.9189,1.03491,1
62.1041,92.5477,88.8383,1.05581,1
80.4609,92.3441,196.258,1.06642,1
79.6506,91.99,209.504,1.06536,1
70.1883,92.181,-1.82164,1.0537,1
74.5473,78.7217,25.7319,1.02769,1
33.1202,60.129,138.615,1.01848,1
31.8316,61.9084,87.8612,1.02358,1
26.5439,51.4452,-5.91134,1.03387,1
28.2536,46.9069,66.2428,1.02769,1
17.567,48.0406,135.596,1.03387,1
15.7496,50.8812,167.931,1.03284,1
12.1941,50.2401,151.979,1.03284,1
7.39481,36.0425,197.951,1.05898,1
24.1413,48.5847,-46.4484,1.02871,1
27.7381,39.8189,93.9991,1.01746,1
22.1001,49.4474,99.3158,1.02563,1
32.1788,41.2977,130.164,1.02769,1
32.4038,52.209,92.4426,1.03077,1
28.2484,88.462,-174.278,1.05898,1
18.359,97.5899,-131.215,1.07822,1
0.532999,73.1149,48.7285,1.08905,1
5.89254,85.434,88.017,1.07177,1
42.2177,85.5998,300.493,1.04009,1
36.8374,81.2402,251.554,1.03387,1
41.9494,68.4269,68.2265,1.02358,1
32.6915,81.0549,-235.173,1.04113,1
45.1402,87.0565,137.927,1.0474,1
39.0616,84.1068,30.7938,1.03594,1
32.8017,78.9007,81.6259,1.04009,1
40.121,72.2327,-12.4153,1.01848,1
35.9457,85.1886,-187.857,1.03801,1
43.8673,71.663,6.86319,1.02154,1
41.0354,70.2557,-48.7039,1.01441,1
85.9326,5.8418,61.6163,1.08146,1
83.6114,27.7773,13.7295,1.02974,1
75.9122,31.2404,-76.7169,1.03905,1
52.7738,64.0004,80.556,0.99234,1
50.8777,55.9257,-58.8436,0.997314,1
51.8013,72.663,-16.0834,1.01441,1
48.4309,69.7774,107.074,1.00734,1
57.6348,34.3914,-5.0639,1.02154,1
52.0964,58.2474,-66.1745,0.99931,1
60.7371,52.2249,-363.4,0.99931,1
59.2573,61.0317,-149.14,1.01746,1
85.7885,86.7162,-91.7711,1.06963,1
89.168,89.1662,70.2124,1.07714,1
87.8986,87.7358,-23.0442,1.06963,1
74.9996,83.7908,-25.1928,1.03077,1
49.0274,47.7065,-60.7996,1.01441,1
50.5132,52.8389,47.3723,0.993333,1
48.9311,49.839,122.463,1.00633,1
58.7607,51.5795,-16.6881,1.00332,1
71.0894,40.2099,-58.1458,1.0195,1
73.5063,54.7044,41.9095,1.02769,1
56.9864,46.789,122.12,1.00131,1
51.4278,34.4206,98.7097,1.03594,1
65.7801,53.1076,-155.732,1.00633,1
17.2794,70.3442,34.7805,1.06323,1
2.34444,83.8865,-22.0032,1.08471,1
1.79201,86.9885,-99.9007,1.08362,1
0.946935,62.5903,132.415,1.08688,1
13.4329,66.6246,143.015,1.05476,1
9.70009,87.9771,119.226,1.06429,1
46.5232,52.5383,133.742,1.01137,1
48.5585,49.1796,-92.6698,1.01441,1
20.9882,97.1928,-5.37826,1.07391,1
8.02769,91.6686,-83.2444,1.06642,1
23.9256,92.406,82.3081,1.05898,1
15.7045,89.3177,-55.2017,1.06856,1
17.7389,93.6219,223.972,1.0707,1
13.9137,98.1271,163.588,1.08254,1
25.6058,89.7373,13.9858,1.06217,1
27.8208,96.446,6.48477,1.07499,1
24.5173,96.9112,6.95405,1.07177,1
27.3272,81.9377,-31.4105,1.05581,1
24.7311,74.6881,19.0683,1.06004,1
29.0214,63.6751,33.8772,1.02563,1
72.9723,67.1016,18.1539,1.02461,1
76.2935,81.6767,-4.82447,1.03491,1
55.802,77.0133,63.2415,1.03905,1
76.2382,91.5073,1.89726,1.05898,1
45.3777,26.0784,8.68953,1.02769,1
88.4055,33.4107,-96.21,1.02256,1
75.819,29.4631,-131.867,1.03801,1
84.0198,33.6389,113.347,1.02563,1
93.0784,14.0684,74.7613,1.08038,1
84.7907,16.8869,308.624,1.06429,1
65.7753,18.3423,93.0675,1.01543,1
58.5995,4.86112,147.135,1.07822,1
56.3945,14.5584,-113.868,1.0474,1
59.3557,25.6136,211.715,1.03491,1
45.2543,41.6829,52.0602,1.02358,1
52.2938,51.1284,73.9607,0.990357,1
56.611,46.7304,109.439,1.00332,1
55.1705,51.6688,76.6011,0.99931,1
66.0562,70.0386,19.0386,1.03491,1
49.8245,70.1907,90.7205,1.00935,1
47.3675,61.7605,31.0388,0.998312,1
46.2494,68.0204,79.3502,1.00332,1
45.6295,80.8608,76.5174,1.02563,1
51.5099,77.0353,-81.0807,1.02974,1
50.8477,59.1485,-93.0422,0.994326,1
34.1926,80.6922,-54.3059,1.03594,1
45.8965,62.6342,-76.7837,1.00633,1
66.5903,70.7963,-4.04886,1.03491,1
60.7474,51.4475,255.056,0.998312,1
39.0668,71.518,-38.5416,1.02256,1
43.6775,67.8573,101.607,1.00633,1
43.1263,86.1184,-54.1043,1.04635,1
44.4506,74.1595,92.0488,1.01239,1
39.1828,52.4618,100.069,1.02461,1
32.3647,54.7422,-68.7139,1.02358,1
52.62,85.7761,-143.927,1.04845,1
62.2133,94.6584,-103.158,1.06429,1
56.0607,97.467,54.6948,1.08688,1
67.4187,88.4522,-113.36,1.03181,1
62.6051,91.9593,-69.1391,1.05898,1
66.1452,76.8869,-12.1647,1.04009,1
73.9389,78.2846,-144.43,1.02154,1
68.1343,70.8924,-89.8558,1.03284,1
68.0881,67.313,-9.62905,1.02563,1
67.6429,63.8796,-117.82,1.02052,1
67.1526,78.1984,-220.074,1.03491,1
70.2342,11.5515,140.169,1.03491,1
67.313,11.6931,301.291,1.02871,1
59.4653,5.53301,16.8506,1.07284,1
94.312,53.0179,55.0817,1.06749,1
70.7381,79.2753,173.033,1.02974,1
69.6889,72.529,-253.556,1.03491,1
69.0071,79.9721,14.7646,1.03491,1
84.5102,87.5046,-73.2365,1.06856,1
90.0647,82.2908,-56.6016,1.06429,1
75.0982,80.2786,-141.114,1.02974,1
72.9679,67.3992,-7.83468,1.02461,1
71.7188,64.2444,-54.6195,1.02871,1
67.1184,68.9625,43.1258,1.03594,1
90.5989,72.6842,83.5591,1.06642,1
70.4293,17.7774,-42.7332,1.02052,1
65.4915,18.5526,-49.3098,1.01644,1
32.3872,17.7658,86.7811,1.04426,1
46.7856,24.4231,45.7618,1.02358,1
59.4943,17.5975,164.209,1.03698,1
69.9025,15.5094,136.81,1.02769,1
63.9436,3.60239,126.131,1.07714,1
61.566,13.7332,32.444,1.02974,1
64.1549,17.3572,23.4858,1.01441,1
57.6476,23.5647,42.5939,1.04218,1
73.7757,18.8306,20.3117,1.03905,1
95.6908,9.32389,103.479,1.08688,1
69.404,8.1311,174.424,1.0474,1
66.3466,4.47805,128.188,1.07177,1
79.1273,14.3355,66.1339,1.0611,1
79.9525,15.1064,-58.0336,1.06323,1
79.0068,10.6844,32.282,1.06642,1
66.107,24.9739,154.275,1.02052,1
85.5415,4.05166,49.9642,1.08471,1
87.4259,0.328163,96.2539,1.09124,1
88.2629,23.5059,269.654,1.04426,1
86.9011,3.03959,-31.892,1.08688,1
71.3861,0.341786,-25.5742,1.08471,1
72.718,0.261765,24.4962,1.08797,1
68.6503,5.00957,104.49,1.06217,1
82.9988,29.0756,191.678,1.02769,1
42.5979,43.5362,227.278,1.02256,1
34.2985,43.7289,73.2533,1.02666,1
71.3447,48.173,148.49,1.01036,1
71.6417,42.1524,121.178,1.01239,1
75.6294,39.5909,174.004,1.01746,1
81.6931,33.6291,-90.1656,1.02666,1
59.93,14.9092,144.394,1.03698,1
72.8328,16.9573,105.358,1.04322,1
67.5029,17.5173,64.1355,1.01746,1
65.9399,14.6721,-5.55637,1.02769,1
66.3701,22.4624,169.511,1.02256,1
80.1823,18.6876,-149.777,1.05898,1
87.6918,7.85759,140.09,1.07499,1
76.9563,40.2731,-84.6014,1.01746,1
75.3826,48.2141,177.839,1.02666,1
77.499,56.2033,187.09,1.04009,1
76.9524,54.2105,-53.8292,1.03284,1
79.4778,46.8631,64.5425,1.02256,1
70.6975,59.7173,-83.7808,1.02974,1
26.505,40.7811,-63.1795,1.02256,1
11.4646,40.7668,47.7837,1.04531,1
14.2963,53.3297,43.3769,1.04218,1
64.1672,48.4149,58.9614,1.00432,1
61.2483,61.1253,149.512,1.00834,1
66.074,63.9172,-54.2716,1.01441,1
46.0058,49.2561,151.113,1.0134,1
58.1436,49.0098,131.937,1.00231,1
51.3594,48.7419,174.788,1.00031,1
47.8424,50.6746,28.5721,1.01036,1
43.7475,48.7322,-187.011,1.01441,1
43.5292,51.0524,-4.7324,1.01644,1
50.1961,41.3974,-42.3645,1.03491,1
38.205,29.4236,35.9557,1.03284,1
37.0916,31.7865,82.8811,1.03181,1
46.3262,27.448,181.935,1.01644,1
46.4056,35.4148,202.298,1.02871,1
38.9135,39.7147,173.723,1.0195,1
42.2062,43.7421,176.818,1.02358,1
56.2879,46.6282,165.76,1.00633,1
