x,y,z,W,spp
77.5605,36.6175,40.9729,1.00734,1
76.533,38.2264,8.08878,1.00532,1
94.5974,39.0734,11.0296,1.05687,1
79.1424,44.545,2.53834,1.01239,1
77.3258,25.3935,-14.5739,1.03284,1
51.6248,79.2752,-9.8108,1.02563,1
69.8308,77.0273,-31.1308,1.01036,1
58.2952,74.0467,25.8754,1.01848,1
57.0214,73.8227,16.3151,1.02052,1
64.3514,81.1901,37.0073,1.0195,1
71.3846,82.411,9.07666,1.03077,1
69.412,83.8208,46.6882,1.02871,1
55.8119,46.5827,-35.8576,1.01239,1
49.6342,50.1586,-0.0887098,1.0134,1
28.0673,55.0203,-25.2063,1.01036,1
46.5786,29.8935,16.2211,1.01543,1
35.4649,18.806,12.9018,1.03905,1
13.9716,7.78722,33.2517,1.06963,1
77.6952,8.97963,18.2138,1.05793,1
78.3153,20.0921,17.9611,1.0495,1
76.8406,15.1039,38.3403,1.05476,1
69.2817,53.1581,-11.282,1.02154,1
62.725,51.7533,-5.26228,1.02871,1
59.6229,46.5337,18.8433,1.0195,1
47.8244,54.444,-13.9076,1.01441,1
43.0764,29.921,-0.435024,1.01746,1
34.8333,19.7655,16.1649,1.03801,1
36.6976,33.3318,5.44674,1.01746,1
90.127,47.086,-25.0959,1.03594,1
98.1268,57.669,-3.39119,1.07391,1
48.9737,59.1062,18.4224,1.01239,1
43.7252,54.7182,3.51823,1.01137,1
51.9942,57.9339,10.0706,1.02563,1
79.7539,67.691,-25.7505,1.02154,1
90.8678,69.8807,-33.5836,1.05793,1
98.2593,45.0846,21.1275,1.06642,1
59.5413,28.5178,-33.821,1.00633,1
56.5835,13.4919,-30.3335,1.04635,1
58.6874,25.4317,-12.6613,1.01644,1
63.084,19.4501,-3.13641,1.02769,1
51.7998,31.3722,-36.3332,1.01137,1
61.7136,23.1366,-2.70186,1.02154,1
88.5099,3.22745,13.2977,1.08146,1
86.6291,6.6283,-16.2873,1.06323,1
53.8773,17.9282,13.7123,1.03284,1
64.8515,3.38358,-14.3801,1.08038,1
59.542,32.4719,-0.0830539,1.02256,1
56.6506,43.0027,-24.4436,1.00834,1
32.6021,31.6681,-12.1775,1.02358,1
31.7148,44.0764,-9.13332,1.02974,1
36.0327,42.4987,-2.5496,1.02358,1
25.1548,30.314,-24.1515,1.02769,1
37.9843,24.5875,9.65046,1.03387,1
44.3232,29.702,0.292074,1.01543,1
51.4963,32.4368,-21.8863,1.00532,1
44.9459,11.4062,23.7242,1.0474,1
52.3583,21.3788,-11.0419,1.02461,1
47.903,36.4831,-32.2186,1.00231,1
46.7315,33.6903,-7.51873,1.00935,1
47.5138,54.7398,-18.5518,1.0134,1
42.0526,61.8623,1.80145,1.01644,1
40.3044,55.2596,-48.1205,1.00734,1
77.1723,70.7636,26.9424,1.0195,1
65.7295,81.506,28.1521,1.01644,1
73.3197,72.5647,-6.69593,1.00935,1
77.8777,75.5856,14.4349,1.02154,1
75.9835,82.8706,-6.58493,1.04218,1
73.5333,70.734,-37.3194,1.00432,1
68.1742,79.3578,4.07536,1.01239,1
99.3536,46.4304,25.8487,1.0707,1
88.0477,39.4189,29.6146,1.03594,1
81.9617,47.9863,-8.38836,1.01543,1
89.3561,48.9266,52.2918,1.03491,1
90.0902,51.8969,33.5434,1.04113,1
89.717,56.0111,32.6394,1.04322,1
76.8662,40.5672,21.3368,1.00734,1
88.1948,54.0849,-4.33634,1.03698,1
86.6912,41.9188,9.96946,1.03077,1
98.4917,52.2012,-6.33689,1.07177,1
63.9168,48.6739,14.5545,1.02871,1
73.8695,66.1845,18.4831,1.01543,1
72.2904,52.2461,10.8715,1.02666,1
62.903,56.935,39.2449,1.03284,1
75.6277,53.4158,0.792856,1.02256,1
93.0179,55.9225,-38.6008,1.05265,1
81.8455,44.5716,-8.05907,1.01746,1
95.2275,38.961,15.6942,1.05898,1
96.8509,35.1098,5.97124,1.07499,1
80.0436,27.8708,17.9905,1.02666,1
88.5169,34.4149,1.82376,1.04322,1
84.1715,33.6279,7.58516,1.03491,1
88.8042,34.8197,27.9319,1.04531,1
77.6468,51.08,-17.1173,1.02563,1
81.4069,3.87517,1.64847,1.08038,1
50.6547,44.7348,13.6298,0.998312,1
46.9809,40.5813,11.4692,1.0134,1
54.6514,82.6779,3.34238,1.03698,1
46.2444,83.4618,15.3396,1.04009,1
51.6398,70.7653,-34.0805,1.01036,1
37.4577,78.8425,7.86021,1.02769,1
20.5634,50.7877,38.3154,1.02358,1
23.3174,65.217,31.7196,1.01137,1
12.1659,66.9527,34.7183,1.04531,1
49.0739,75.6515,13.3791,1.01848,1
44.8139,75.0978,-7.77148,1.01441,1
31.596,80.0338,-20.9446,1.02871,1
27.3539,81.6926,-8.38669,1.03181,1
11.8353,56.622,-41.1361,1.04218,1
11.9522,55.7263,-23.7984,1.04322,1
16.7661,54.8384,-51.3876,1.02871,1
11.6812,54.7428,-17.0226,1.04426,1
23.4139,55.0207,9.16508,1.01543,1
5.2621,68.4824,-12.5156,1.05265,1
33.0952,64.8268,-0.1458,1.01036,1
40.5175,65.8264,13.9473,1.01644,1
27.0911,56.3992,-54.8258,1.00734,1
23.2039,68.8928,-22.915,1.01137,1
33.5481,55.243,8.45124,1.02563,1
38.1245,59.2397,-18.0515,1.0195,1
78.951,55.6961,-29.4512,1.03181,1
70.5648,37.622,-5.22823,1.0134,1
