x,y,z,W,spp
81.4356,65.8701,-24.4559,1.02871,1
86.8951,71.609,0.210991,1.03491,1
84.8953,68.8041,243.639,1.03594,1
92.6014,79.1226,51.4486,1.05898,1
84.2232,81.8094,85.6185,1.0474,1
86.044,76.1823,-62.8454,1.03387,1
85.4423,80.7297,-2.6912,1.05055,1
80.4255,47.3439,32.8262,1.02974,1
73.0812,48.7245,147.73,1.03284,1
83.9556,55.399,-3.07618,1.02871,1
90.1783,49.2745,81.2122,1.04531,1
74.4705,51.2149,-44.2667,1.02769,1
89.9331,41.2756,-186.743,1.05898,1
93.6281,65.8028,97.7953,1.06642,1
85.0877,69.6774,-158.823,1.03077,1
88.9092,57.0782,-66.754,1.04531,1
88.8977,51.8894,-11.6947,1.0474,1
86.9451,49.801,-31.8904,1.04009,1
89.0927,48.8876,119.795,1.04531,1
87.7222,55.1963,80.6792,1.03594,1
87.5176,51.3116,118.001,1.03801,1
69.9645,62.9471,119.675,1.01239,1
50.0001,77.7504,-113.65,1.01441,1
47.3015,26.9133,70.5003,1.02358,1
49.8719,10.7595,124.31,1.04845,1
69.0163,41.945,63.6282,1.02052,1
66.6557,38.394,59.8765,1.02461,1
52.4192,31.5453,-95.0565,1.00231,1
42.346,23.4458,102.812,1.03181,1
41.5991,32.1495,77.1712,1.02769,1
36.1749,19.3627,17.3223,1.03801,1
34.0808,23.0165,-42.7644,1.03905,1
39.4074,36.0472,-101.782,1.01137,1
39.3789,29.6787,-120.267,1.03284,1
29.672,37.9266,-47.7093,1.02256,1
31.7675,27.3413,-29.1494,1.04113,1
38.0847,51.6248,43.3352,1.00332,1
24.8027,29.0477,-22.176,1.03387,1
61.4169,34.2164,109.216,1.01036,1
11.3684,32.0738,34.8003,1.05476,1
12.2357,22.5541,28.916,1.05265,1
12.359,3.236,-84.3794,1.09124,1
16.7659,9.95213,-81.3459,1.07606,1
30.5808,61.2771,1.80572,1.00834,1
12.3457,75.5252,-54.9368,1.04426,1
13.9857,73.202,-128.914,1.03491,1
8.74725,59.5932,-61.9902,1.06004,1
1.00345,51.9793,14.4472,1.0793,1
8.32705,56.9337,-27.9203,1.05687,1
5.05635,51.1151,-41.7964,1.05581,1
5.23201,56.8276,-120.364,1.06004,1
7.19989,56.2764,19.3891,1.05793,1
17.258,55.4051,-50.9875,1.04531,1
17.8523,55.9632,-108.558,1.04322,1
19.1791,44.0301,8.8609,1.02154,1
20.1259,38.7289,85.5783,1.02358,1
14.7645,41.0947,-6.18385,1.03284,1
2.03984,51.311,90.2823,1.06749,1
6.61365,72.6467,-1.68565,1.05265,1
11.0916,71.6394,68.6595,1.04426,1
5.52952,73.8488,42.9938,1.05898,1
24.6393,79.4319,41.8125,1.0195,1
20.0988,73.7394,13.5056,1.02154,1
29.4201,76.1387,109.763,1.00432,1
16.9884,80.2823,72.1593,1.04531,1
19.5175,86.8145,-52.7201,1.05265,1
29.2667,85.049,-87.2564,1.02974,1
22.7122,92.3979,-55.7134,1.06323,1
26.899,77.263,61.3023,1.01036,1
8.82366,79.9002,47.8169,1.06856,1
12.4928,71.0572,156.332,1.04009,1
19.6204,75.4933,88.34,1.02666,1
20.9089,75.2101,93.7209,1.02461,1
7.26579,69.2342,185.371,1.0537,1
19.9868,66.5178,82.8939,1.02666,1
20.6762,78.8776,-22.8576,1.03181,1
16.6986,79.3423,118.735,1.04113,1
3.89736,68.6913,-269.701,1.06963,1
7.8276,78.2845,0.80474,1.06642,1
15.3731,89.3988,175.312,1.07499,1
8.34784,86.5569,161.024,1.08146,1
16.4274,86.6963,133.721,1.06963,1
15.5374,46.5,-20.1182,1.03801,1
18.5667,54.6442,35.1708,1.03594,1
30.0748,76.1285,-61.8653,1.00633,1
32.9059,75.1899,-143.709,0.996317,1
27.7595,70.7606,-98.536,1.00834,1
37.3117,56.1827,30.7058,1.01543,1
29.0962,59.5913,-38.8647,1.00734,1
35.7241,52.0377,77.7901,1.00231,1
35.0667,54.275,-78.0213,1.00231,1
0.288997,33.0945,-18.8146,1.08797,1
9.92077,23.2827,-19.8857,1.05687,1
14.3926,25.0961,169.961,1.04322,1
12.1351,2.97243,-145.653,1.09233,1
16.1136,12.6758,35.514,1.06642,1
17.3859,11.7202,-27.7052,1.0707,1
26.3353,22.4178,106.483,1.04113,1
5.4363,31.177,17.4372,1.07284,1
37.277,16.7823,-26.1784,1.04009,1
34.3869,33.0204,-35.6074,1.02871,1
22.1331,24.3896,-18.8468,1.04113,1
25.1328,23.9471,-87.191,1.04009,1
27.6522,26.8984,91.9618,1.04426,1
27.5633,16.2442,-1.07694,1.05265,1
35.426,21.0389,89.5733,1.03905,1
66.1436,14.4085,11.7168,1.01543,1
31.3938,9.12664,92.4775,1.06323,1
44.8462,18.0501,115.379,1.04426,1
48.787,10.9735,-40.4775,1.04426,1
57.0495,18.0422,-38.3341,1.01848,1
51.3428,11.3069,-44.622,1.0495,1
56.884,21.1729,-12.2352,1.02563,1
61.4598,33.4264,5.94487,1.01746,1
76.238,21.516,88.6699,1.03491,1
67.3237,26.4642,73.5,1.02052,1
61.7597,17.4914,88.1684,1.0134,1
58.072,17.6437,43.1762,1.01441,1
53.2835,18.4541,-105.248,1.02769,1
52.9316,23.3294,-92.4134,1.01543,1
46.0484,7.97266,16.8913,1.06323,1
49.0641,15.0833,-72.0264,1.04635,1
53.3076,22.9048,-129.224,1.02358,1
52.8925,20.278,102.395,1.02358,1
63.7607,62.7228,158.41,1.02974,1
60.0034,61.1662,161.74,1.02461,1
72.5863,59.2209,87.6936,1.02769,1
60.8032,62.0405,80.74,1.02563,1
68.8873,46.7966,70.1988,1.02358,1
72.8386,58.1878,87.95,1.02871,1
29.874,39.4666,-111.307,1.02052,1
10.4725,16.1509,-48.9578,1.06749,1
68.7956,27.1417,-76.0231,1.01848,1
82.7409,38.3268,-48.0836,1.03801,1
35.3895,39.3162,85.7531,1.0134,1
73.4629,15.5138,-23.5754,1.02871,1
71.3712,14.3214,67.245,1.03284,1
63.7378,26.7145,-32.4594,1.02256,1
71.3851,22.0038,79.3999,1.02154,1
81.8327,27.7222,50.9472,1.0495,1
32.8715,43.4904,111.933,1.00432,1
