x,y,z,W,spp
92.7888,50.1939,11.7465,1.04531,1
90.5047,44.7269,-12.9091,1.03594,1
84.1229,63.0599,34.3771,1.03181,1
93.94,64.4632,-10.205,1.06004,1
73.4282,44.2659,84.8272,0.998312,1
71.8249,39.18,-176.283,1.01239,1
84.4562,56.7798,-11.8307,1.0495,1
83.8754,55.3975,-73.0201,1.05265,1
75.249,56.9999,23.9197,1.0195,1
72.7036,37.995,47.3808,1.00633,1
67.2069,46.4467,-25.5849,1.00131,1
70.3056,39.2331,-5.06332,1.00231,1
84.2013,39.3999,-106.079,1.01543,1
66.1001,29.5771,165.556,1.00633,1
69.0694,18.748,139.571,1.01848,1
60.1029,40.2465,109.123,0.990357,1
67.0729,33.7569,70.4298,1.00031,1
77.9048,8.33349,110.476,1.06642,1
66.1183,6.53206,-17.9915,1.0537,1
28.5065,29.2684,-32.5368,1.02154,1
67.0282,22.0492,-0.0794883,1.01848,1
82.6109,7.81831,-25.5426,1.06749,1
68.4736,5.57183,95.9181,1.06749,1
74.3315,22.5614,160.817,1.01543,1
91.8818,30.0447,84.5709,1.04845,1
89.7456,35.8179,-69.1307,1.03077,1
86.9149,31.1731,137.956,1.02358,1
78.08,31.6161,83.9162,1.0195,1
60.4659,19.481,22.5901,1.02256,1
74.4602,12.2017,71.3257,1.04531,1
70.6481,15.1612,90.2948,1.02358,1
72.0232,10.4352,53.9476,1.0537,1
77.1442,12.9008,164.34,1.04322,1
66.9715,15.3831,48.8169,1.02666,1
48.7385,82.8962,152.244,1.03077,1
32.773,85.0839,171.133,1.04635,1
6.74859,59.3715,-121.82,1.04845,1
23.6082,38.3901,79.0186,1.02256,1
28.5968,33.7092,64.2735,1.01137,1
6.81503,35.4185,103.957,1.04113,1
18.6222,45.2724,-4.42023,1.01036,1
14.7768,29.3913,-75.3636,1.03181,1
7.93701,41.0917,-21.1172,1.03491,1
9.88582,40.4837,77.6503,1.03387,1
17.3216,45.075,-91.3459,1.00935,1
13.451,37.5246,17.2692,1.0195,1
25.778,26.8423,109.358,1.03594,1
26.7285,27.4905,111.064,1.03077,1
31.9817,41.1591,-102.205,1.00633,1
42.1569,41.6734,20.0354,1.00633,1
12.2231,42.9651,-64.5906,1.02154,1
11.2508,44.0485,-35.3042,1.02358,1
17.195,42.1074,-136.129,1.01036,1
18.538,50.315,-123.563,1.01848,1
15.8164,64.1022,68.6302,1.03491,1
15.5751,41.838,214.464,1.01441,1
14.4505,38.4816,78.7219,1.01848,1
55.6475,74.7411,-35.7552,1.02256,1
44.3729,59.8135,-116.068,1.00532,1
47.8548,33.8913,143.824,1.01036,1
58.4121,43.6914,10.5792,0.991348,1
74.5683,47.7039,-14.9472,1.00532,1
92.57,66.2892,28.1324,1.0516,1
96.4256,71.5402,40.7321,1.07714,1
93.2202,73.9247,-86.6669,1.06963,1
69.4602,73.7347,-55.3436,1.00935,1
83.2225,63.4301,-107.33,1.03387,1
69.7934,58.3465,-135.342,1.01036,1
86.4263,50.8423,-97.4624,1.04531,1
62.8821,61.621,67.0758,1.00332,1
53.0809,59.8468,113.416,0.98739,1
11.2222,94.7739,140.381,1.07284,1
14.9534,97.9247,79.8886,1.08038,1
8.60412,56.3937,-4.15659,1.0495,1
4.26096,49.3163,-12.3776,1.07177,1
11.303,60.3893,-25.4266,1.03284,1
8.26352,57.3945,24.6012,1.04635,1
8.61531,60.4128,-91.0484,1.04322,1
9.24831,57.3018,65.3127,1.04635,1
0.0789748,48.2692,155.977,1.08362,1
23.9561,62.696,21.0015,1.02256,1
19.266,70.4019,127.062,1.03491,1
20.9521,68.968,127.558,1.03491,1
27.5426,74.0966,141.646,1.02461,1
28.0982,44.2893,138.403,0.997314,1
33.5648,40.6882,59.8908,1.00532,1
24.3288,54.7059,-9.7955,1.01036,1
19.2972,63.0304,26.6804,1.03284,1
24.6401,94.5824,16.6862,1.07822,1
