x,y,z,W,spp
66.5348,11.4775,-208.083,1.0495,1
91.9977,44.9475,131.276,1.0537,1
80.7166,46.7743,-111.528,1.02769,1
76.4188,58.3924,-84.8776,1.03077,1
73.2189,26.6644,-105.439,1.02256,1
88.0477,14.8888,1.6917,1.05055,1
82.0674,25.4267,-202.993,1.02974,1
81.6743,35.0251,88.3377,1.03284,1
90.3829,32.6281,76.3539,1.06004,1
94.2049,22.2182,280.186,1.08254,1
96.0265,14.8225,385.252,1.08579,1
82.7833,17.8173,421.999,1.03905,1
90.5019,11.558,-8.73014,1.07284,1
98.5282,10.6251,200.576,1.09342,1
91.2792,9.90771,-20.7796,1.08254,1
90.3501,18.627,-64.2902,1.0611,1
90.5511,25.4624,121.989,1.06429,1
61.8943,23.8643,-39.7081,1.0195,1
69.497,23.194,-60.2261,1.01441,1
77.6469,28.3454,119.174,1.02052,1
82.1337,38.2281,106.411,1.02666,1
81.5941,38.1074,157.904,1.02358,1
43.1888,7.06226,-18.5796,1.06323,1
37.9824,12.4298,46.88,1.0474,1
44.3742,6.52545,159.207,1.06749,1
92.8932,31.2377,31.0269,1.06856,1
10.3819,33.1022,85.6413,1.05793,1
7.23647,50.7753,107.854,1.04426,1
21.5574,58.1302,-277.71,1.02563,1
23.0744,58.5989,48.35,1.01239,1
27.6295,63.1186,-93.9907,1.01746,1
18.1475,57.0218,-206.666,1.02871,1
30.3326,44.109,-30.5175,1.0134,1
15.7495,45.5278,7.55553,1.03594,1
20.2166,42.9458,-175.234,1.03284,1
31.1481,56.0526,94.6957,1.02461,1
27.5032,49.748,-30.9833,1.0134,1
13.5332,37.426,57.7927,1.03698,1
13.6199,34.6412,158.183,1.04009,1
20.2253,34.159,15.6649,1.02052,1
28.6084,33.1621,85.6692,1.0195,1
15.4778,50.4513,85.172,1.03491,1
3.925,54.155,-94.6246,1.06536,1
23.6154,45.2155,180.255,1.02666,1
32.1161,32.549,77.7188,1.02154,1
27.8172,78.6569,16.981,1.02974,1
23.8958,64.2871,176.104,1.01239,1
35.0492,73.2275,89.9545,1.03801,1
14.9751,77.0263,120.628,1.04845,1
26.3399,75.2451,-10.6287,1.03077,1
6.08487,76.1474,305.847,1.0707,1
4.91426,80.1292,174.629,1.07714,1
38.9843,83.2781,92.1881,1.0134,1
23.1331,98.6981,-174.657,1.0793,1
28.6807,84.786,-65.5089,1.02052,1
48.5281,81.8061,68.4046,0.991348,1
39.105,62.1002,153.395,1.04113,1
17.9602,48.3244,29.5613,1.03181,1
32.536,43.7676,62.9211,1.01644,1
29.0087,74.5596,26.0415,1.03594,1
24.5608,81.6253,46.2563,1.02563,1
5.19451,90.2162,53.6119,1.08146,1
5.06274,96.8435,135.557,1.09124,1
4.67881,95.1149,-50.8394,1.09124,1
2.60648,85.9882,59.0603,1.08688,1
15.0525,88.5302,-59.223,1.06004,1
37.7061,83.5379,145.5,1.02256,1
14.7005,88.3993,84.0262,1.05898,1
