x,y,z,W,spp
15.1906,73.1816,62.2857,1.03181,1
50.555,91.4654,62.9454,1.06004,1
35.4632,92.0644,-23.4333,1.03801,1
60.7481,88.2694,234.801,1.0495,1
53.3932,42.6141,196.442,0.988378,1
23.5673,98.6838,-156.758,1.08362,1
29.241,97.0388,83.7003,1.07391,1
41.3988,87.9502,268.337,1.03284,1
34.8792,94.7465,137.968,1.05898,1
2.30645,79.0654,-123.422,1.07391,1
10.1388,92.1276,-7.35337,1.06642,1
31.066,88.8867,113.662,1.02563,1
40.3919,91.2117,162.028,1.0495,1
30.5446,78.4258,-6.4376,0.99931,1
21.6515,73.3051,200.762,1.02154,1
18.1757,64.2436,147.26,1.02154,1
9.0728,61.927,64.3446,1.04322,1
21.4796,70.2706,-260.912,1.01746,1
45.9952,34.7412,-167.557,0.989367,1
31.847,32.7194,-178.095,1.0195,1
32.4656,54.8635,270.702,0.985418,1
4.54955,25.2366,-85.7697,1.08254,1
1.94223,24.8095,133.975,1.08905,1
35.4792,65.2023,40.9905,1.00031,1
12.0797,72.88,-52.3714,1.03387,1
24.3299,98.7484,-298.95,1.08362,1
14.9203,94.7707,-171.654,1.0611,1
37.0445,30.0718,-14.4614,1.01848,1
30.9105,25.4731,79.0491,1.01543,1
30.8662,34.7191,-103.732,1.0195,1
34.897,24.9408,-68.5939,1.02358,1
21.0644,54.6942,-6.13843,1.00935,1
15.7386,57.5409,-208.151,1.03181,1
43.8547,84.928,155.111,1.03181,1
35.3331,98.0593,37.2999,1.07822,1
27.2444,90.2711,-21.1485,1.03491,1
40.9654,91.6051,34.0329,1.0537,1
33.1489,80.2236,417.679,0.991348,1
45.1878,83.6183,166.471,1.03491,1
54.6751,71.5056,102.442,1.02256,1
53.3736,73.0383,292.676,1.02871,1
55.0647,61.9958,127.445,0.99234,1
48.0021,73.2358,184.675,1.03181,1
42.6831,78.4226,46.8068,1.00332,1
53.8007,80.9697,96.212,1.04218,1
36.9681,78.4563,-25.5621,0.99234,1
43.7199,84.9961,83.7474,1.03181,1
34.725,82.7891,78.0631,1.00633,1
43.8261,73.1948,-257.523,1.01543,1
